ecoli,saureus
2.714398193359375000e+01,5.759835052490234375e+01
6.090944290161132812e+01,1.033848037719726562e+02
3.893493270874023438e+01,1.066182403564453125e+02
3.102489471435546875e+01,1.160890502929687500e+02
1.032057113647460938e+02,1.198867492675781250e+02
1.291281585693359375e+02,1.353331298828125000e+02
1.386900424957275391e+01,4.562366104125976562e+01
1.156276855468750000e+02,1.237001190185546875e+02
1.199238967895507812e+02,1.318268432617187500e+02
1.392436370849609375e+02,1.389160308837890625e+02
3.071218109130859375e+01,5.799880981445312500e+01
8.494246673583984375e+01,1.052131347656250000e+02
4.152467727661132812e+01,7.270129394531250000e+01
9.099188232421875000e+01,9.523609924316406250e+01
1.723857116699218750e+01,5.104285812377929688e+01
1.208989028930664062e+02,1.339925384521484375e+02
1.093638076782226562e+02,1.250327606201171875e+02
3.950709533691406250e+01,1.079919052124023438e+02
5.136807250976562500e+01,7.296984863281250000e+01
4.130046081542968750e+01,6.274647903442382812e+01
7.635083007812500000e+01,1.003500976562500000e+02
1.173593521118164062e+01,2.196697998046875000e+01
5.510295486450195312e+01,9.784225463867187500e+01
1.304344482421875000e+02,1.338093566894531250e+02
9.822534942626953125e+01,1.314182739257812500e+02
2.796859741210937500e+01,5.825208282470703125e+01
2.139267921447753906e+01,9.822286987304687500e+01
7.298732757568359375e+01,1.167658691406250000e+02
5.280686569213867188e+01,9.362884521484375000e+01
8.006681060791015625e+01,1.038993377685546875e+02
2.120970726013183594e+01,5.305898284912109375e+01
8.548383331298828125e+01,1.234351577758789062e+02
4.380022048950195312e+01,8.803855895996093750e+01
7.830580902099609375e+01,1.250619277954101562e+02
1.420799636840820312e+01,4.612709045410156250e+01
9.583876800537109375e+01,1.334454040527343750e+02
1.282916736602783203e+01,7.303070068359375000e+01
1.178948745727539062e+02,1.332996826171875000e+02
3.463291931152343750e+01,5.893109130859375000e+01
6.752365112304687500e+01,8.566401672363281250e+01
1.316665039062500000e+02,1.419365692138671875e+02
2.056528091430664062e+01,1.036847381591796875e+02
1.806438636779785156e+01,6.124057006835937500e+01
7.180697631835937500e+01,9.777575683593750000e+01
7.924658966064453125e+01,1.253869323730468750e+02
2.660983467102050781e+01,1.001684417724609375e+02
1.051336898803710938e+02,8.996290588378906250e+01
3.047933387756347656e+01,3.184354782104492188e+01
2.946760559082031250e+01,5.117619323730468750e+01
7.940180206298828125e+01,1.214766082763671875e+02
3.388197708129882812e+01,7.738388061523437500e+01
3.753445434570312500e+01,1.090312500000000000e+02
2.251078796386718750e+01,7.318812561035156250e+01
5.982523727416992188e+01,8.716481018066406250e+01
1.068469467163085938e+02,1.495441741943359375e+02
1.370288848876953125e+02,1.383087463378906250e+02
6.943358612060546875e+01,7.049346923828125000e+01
1.234395217895507812e+02,1.373142089843750000e+02
7.721595001220703125e+01,1.140764770507812500e+02
1.317947998046875000e+02,1.362787475585937500e+02
2.489545440673828125e+01,5.195462036132812500e+01
5.000586318969726562e+01,7.655941772460937500e+01
9.488179779052734375e+01,1.195358734130859375e+02
