Mode,Epoch,Total Loss,Cross Entropy Loss,KL Div,KL Div * Beta
train,0,65.90371634036569,62.45204156343001,0.09023774874405147,9.023774874405145e-08
test,0,60.92929230918516,58.62648205914552,0.11676100433849898,1.1676100433849897e-07
train,1,61.654922670849224,59.064119616486046,0.10830041076876071,2.436623866783655e-07
train,2,59.337560584606855,56.785219200965805,0.11985309859370119,4.1945588180330573e-07
train,3,58.696674673365436,56.207009535206915,0.17787395663435185,8.448345912794334e-07
train,4,58.42519985513635,55.95255284810349,0.1946416796274553,1.167752756924918e-06
train,5,51.96774716773262,49.17686490591134,0.2348329037590226,1.7023917816880645e-06
train,6,47.05230120519055,44.337052631394236,0.3129529450167182,2.6598653179333422e-06
train,7,46.127840802419044,43.51892246809899,0.35115363488225976,3.423440680671511e-06
train,8,45.73326294302599,43.160076300080014,0.37446118113339816,4.118698531286246e-06
train,9,45.34934322569879,42.79420835760711,0.3999413231059217,4.898831274059047e-06
train,10,45.09659685165625,42.562356660431526,0.4229398413934514,5.709159184009852e-06
train,11,44.90567001907406,42.38648109365349,0.4349998008449138,6.415648937736317e-06
train,12,44.72784822219693,42.231811228697566,0.4511359133011662,7.217497908948707e-06
train,13,44.56187883023966,42.07779116247403,0.45982452860392087,7.931225903558654e-06
train,14,44.42756076311301,41.949626395888316,0.46855715354787913,8.667487365617056e-06
train,15,44.53514167729524,42.04999326622073,0.48038156010205074,9.48663509659031e-06
train,16,44.507342617290455,42.02668473893116,0.48760003404726016,1.0238625514924368e-05
train,17,44.19788333499336,41.70702806955051,0.4974033994673076,1.1066168655923727e-05
train,18,43.653531210487714,41.18288429042198,0.5051960636412879,1.1870970804427073e-05
train,19,43.38962285960033,40.91823344016719,0.5128729035902668,1.2692386290713079e-05
train,20,43.09406255541796,40.6312292941771,0.524374618757326,1.3632429151143583e-05
test,20,42.22487546919491,39.913326514428476,0.5606709464651639,1.4576042930728099e-05
train,21,42.9630880568429,40.49768671651272,0.5318804966940872,1.4492347348610056e-05
train,22,42.84288700812121,40.37781875561514,0.5389291884436065,1.5357999815374567e-05
train,23,42.807267083799864,40.334737044822845,0.5432523892030101,1.616019672817059e-05
train,24,43.10961238538284,40.62861584206019,0.542098873073525,1.6803438768660055e-05
train,25,42.860231453621765,40.386052720008145,0.5440340634914229,1.7543398441149975e-05
train,26,42.8218595562702,40.3421968987766,0.5426643436270592,1.8177491852389694e-05
train,27,42.666794409723245,40.19615707384609,0.5475081202221972,1.9024059337815602e-05
train,28,42.52987025640756,40.06496397099079,0.5534510402839022,1.992230037157949e-05
train,29,42.50670079966987,40.039213955198214,0.5550957507906159,2.0675304494853825e-05
train,30,42.303261773979465,39.84899510956539,0.5551258965166181,2.137026529377786e-05
train,31,42.23302839237299,39.77820811940241,0.5554846481348089,2.207836226034713e-05
train,32,42.33403692653,39.87125584325341,0.5583651791832343,2.289073888579587e-05
train,33,42.195930075903824,39.746138385963555,0.5584340729285842,2.3591536040681852e-05
train,34,42.35691954626494,39.89776785087596,0.5521687999166064,2.4016996078972734e-05
train,35,42.17478709713815,39.727070330047304,0.5551069680440499,2.4838608226986037e-05
train,36,42.40533629764478,39.93550887411211,0.5491088253717178,2.525653497738484e-05
train,37,42.26206332432761,39.81341191163878,0.544338288222313,2.5717466553921258e-05
train,38,42.04202002028866,39.60085501449407,0.5498175069734097,2.6663537455052243e-05
train,39,41.90550201067297,39.468586261686504,0.5484410132314376,2.7282266758324517e-05
train,40,41.87951634709227,39.44226672609355,0.5451108992578366,2.7797930307653377e-05
test,40,41.34477035913097,39.02716260456434,0.5689231449369632,2.901223577606043e-05
train,41,41.873319303589795,39.4353001159877,0.544983549330636,2.8472597411835412e-05
train,42,41.88700997875624,39.450754632927875,0.5440132569085944,2.9101853175011025e-05
train,43,41.86245747202671,39.42317163635662,0.544567343989082,2.9812135033928302e-05
train,44,41.81168205599239,39.37786163684794,0.5486545266076405,3.0721635890131525e-05
train,45,41.766766007461044,39.33726999866641,0.5437140804558308,3.1124572714393754e-05
train,46,42.12682232901465,39.67037711796002,0.5392358413517218,3.154219611298795e-05
train,47,41.79576984670912,39.36721382096131,0.5392265056357565,3.221561575601584e-05
train,48,41.82402389070548,39.3872779607572,0.5408045363738138,3.29858318915844e-05
train,49,41.626145888448555,39.204077051104775,0.5457638527356472,3.397045702919603e-05
train,50,41.70562097704841,39.26231859374123,0.5418938951601017,3.44068755058217e-05
train,51,41.64229780504843,39.213387158968075,0.5460127177675701,3.5350842644374394e-05
train,52,41.62368485179085,39.1932979594236,0.5475652055206461,3.613574439052676e-05
train,53,41.57344402844664,39.146411663344374,0.5422305549922748,3.646141254580366e-05
train,54,41.44079466464244,39.0165903212561,0.5414648463546785,3.708668708758258e-05
train,55,41.4584818671933,39.027250858940704,0.5370088412657399,3.745267474250166e-05
train,56,41.559600986658715,39.1215980705858,0.5356573198785332,3.80279201101367e-05
train,57,41.46091637490098,39.03034302354147,0.5376892124115835,3.884421456109848e-05
train,58,41.501666476279524,39.07018637872705,0.5354354286911419,3.9350622101940926e-05
train,59,41.4772828707389,39.035463492387976,0.5269520217815825,3.9385777357012646e-05
train,60,41.40401865228583,38.97046996515105,0.524752665559395,3.987726693752232e-05
test,60,41.0089976038527,38.68453456588255,0.545761290009895,4.1473764831076945e-05
train,61,41.23828979852901,38.80316675162488,0.5236773274830976,4.045008050844723e-05
train,62,41.23071501613688,38.79158481578837,0.5261667506378447,4.130001213275336e-05
train,63,41.10693231304502,38.67001739815543,0.5211730268162341,4.1559444651008484e-05
train,64,41.01921028271297,38.5850111118325,0.5210305628995303,4.219930735035875e-05
train,65,40.99345235970777,38.55883239338256,0.5141625278782849,4.228569034744992e-05
train,66,41.13563937231588,38.68211220889017,0.5154836482124557,4.3038631885642304e-05
train,67,41.049491483054425,38.60174093418356,0.5169070364483899,4.380354224257079e-05
train,68,40.81131742521221,38.36253779251361,0.5184131969105114,4.457912842213024e-05
train,69,40.6259643119432,38.17225643459768,0.5213855514427835,4.548639241300167e-05
train,70,40.547154462078446,38.07466691920167,0.5207415909600878,4.608107431104687e-05
train,71,40.355440617544794,37.88962019730192,0.5162496927164856,4.6328828205281714e-05
train,72,40.310761929549024,37.83910435032848,0.5155650632640756,4.69117806714615e-05
