Mode,Epoch,Total Loss,Cross Entropy Loss,KL Div,KL Div * Beta,Reg Loss,Reg Loss * Gamma,Delta
train,1600,11.525140227043188,5.203404655135511,0.2712233487913297,0.005426636762616925,0.151251420378685,0.6050068736076355,1.0
test,1600,8.269092301465877,2.6766509926033475,0.2753824136670163,0.005509851332649663,0.12754812836647034,0.5101935267448425,1.0
train,1601,9.600879142976183,3.477682594497519,0.2699870832926879,0.005405276063577404,0.14556045830249786,0.5826069116592407,1.0
train,1602,9.547141930405317,3.43609126147184,0.26922419269225384,0.005393367579143439,0.14694185554981232,0.588503360748291,1.0
train,1603,9.54395829231103,3.4239030734026255,0.2697030523518612,0.005406331524532789,0.1380554586648941,0.5532583594322205,1.0
train,1604,9.520845661658836,3.399142770945175,0.2692853185749298,0.00540132357354935,0.14818747341632843,0.5942329168319702,1.0
train,1605,9.544745431293553,3.423369741596846,0.26895861829805845,0.005398132267559818,0.151513934135437,0.6079508662223816,1.0
train,1606,9.5103705553096,3.3984811826804338,0.2691312546351433,0.005404960968353174,0.1405515968799591,0.5643157362937927,1.0
train,1607,9.512924333915054,3.387552824554276,0.26945466782381106,0.005414823919525052,0.1439371258020401,0.5782685279846191,1.0
train,1608,9.505831674477403,3.3796524287927645,0.26939346935999425,0.005416961187956071,0.1436503380537033,0.5774755477905273,1.0
train,1609,9.499491190849273,3.372216379254282,0.26941357782547437,0.005420732861734707,0.1385543793439865,0.5573362708091736,1.0
train,1610,9.49909149069425,3.3770536387136816,0.26893375646575135,0.0054144399572530165,0.14820586144924164,0.5965298414230347,1.0
train,1611,9.523774700115942,3.385885591084731,0.2693919549265756,0.005427031923833948,0.14827139675617218,0.5971642732620239,1.0
train,1612,9.504531600734405,3.385009899620952,0.2683316184363869,0.005409024739466412,0.1433217078447342,0.5775876045227051,1.0
train,1613,9.535275966659642,3.4120663120508454,0.2684936432711074,0.00541564666857817,0.14249558746814728,0.5746146440505981,1.0
train,1614,9.506356838811154,3.374139695738071,0.2693088278855939,0.005435455360310454,0.14408382773399353,0.5813793540000916,1.0
train,1615,9.48686033773021,3.3500190452913463,0.2693060474695847,0.005438765232183608,0.14486344158649445,0.5848872065544128,1.0
train,1616,9.509075485477943,3.3755877620782164,0.2691273938767691,0.005438520992913872,0.14160139858722687,0.5720707774162292,1.0
train,1617,9.514942843356588,3.3796428759980017,0.2689227262260362,0.005437746271045632,0.14644716680049896,0.5920138359069824,1.0
train,1618,9.513752969071144,3.378819465288259,0.26864899273456083,0.005435569025396033,0.1437033712863922,0.581281304359436,1.0
train,1619,9.520589931081862,3.3753807606646484,0.2686220407049777,0.00543838114531916,0.141684889793396,0.5734706521034241,1.0
train,1620,9.458252861436103,3.3176205157361274,0.268858845051592,0.005446535761584026,0.1434219926595688,0.5808601379394531,1.0
test,1620,8.031455218781058,2.435813333034428,0.27356503802198845,0.005541873701123492,0.1235465556383133,0.5003644824028015,1.0
train,1621,9.429479528162622,3.2905349424371257,0.26871534864674806,0.0054469874209660055,0.14686085283756256,0.5951547622680664,1.0
train,1622,9.484688032340793,3.3364305436894695,0.2684613711834826,0.005445194609026871,0.14473150670528412,0.5868873596191406,1.0
train,1623,9.460009486606346,3.3121614424771457,0.2686218348257802,0.005451806725828873,0.14448139071464539,0.5862343907356262,1.0
train,1624,9.52327915796028,3.369465219027997,0.2685661560181423,0.0054540334394317545,0.1467309296131134,0.5957286953926086,1.0
train,1625,9.495167699786625,3.3475268434091143,0.26853816691572047,0.005456821428993183,0.14292822778224945,0.5806471109390259,1.0
train,1626,9.517738387997317,3.370625998046518,0.26783446414192386,0.005445869454777653,0.14591369032859802,0.5931403040885925,1.0
train,1627,9.5371143223818,3.381959532016457,0.26841491367020454,0.0054610265670738106,0.1515645682811737,0.6164900660514832,1.0
train,1628,9.492366259323997,3.346489039175771,0.2677618292631616,0.005451085948475421,0.14170369505882263,0.5767351388931274,1.0
train,1629,9.47709712779788,3.3189707426984714,0.26806294329210906,0.005460566469050213,0.14384359121322632,0.5858041644096375,1.0
train,1630,9.46240941552596,3.3160030840955024,0.2677469871177631,0.00545747679790935,0.15062415599822998,0.61379474401474,1.0
train,1631,9.483483732553616,3.3398525658170253,0.2676523789965186,0.005458893724293809,0.1479405164718628,0.6032286882400513,1.0
train,1632,9.498173270171439,3.3338119110431244,0.26822159938484247,0.005473855671381891,0.14075931906700134,0.574299156665802,1.0
train,1633,9.452311087649164,3.2915264287363075,0.268246440280282,0.005477715368577838,0.1428464651107788,0.5831718444824219,1.0
train,1634,9.49651133407833,3.3378601520871922,0.2678275863809373,0.00547250968984927,0.14362309873104095,0.5867015719413757,1.0
train,1635,9.475247696821741,3.3175668224414276,0.26740858731931094,0.005467290572911276,0.14260606467723846,0.5829033851623535,1.0
train,1636,9.520248629433569,3.347617447005494,0.2681233308012565,0.00548525503598222,0.14330323040485382,0.5861113667488098,1.0
train,1637,9.509841362722531,3.344560295855916,0.26799928684004315,0.005486067006292087,0.14917075634002686,0.6104825735092163,1.0
train,1638,9.468993169852242,3.3071095326685707,0.26731818401896384,0.005475465665646695,0.14750854671001434,0.6040486693382263,1.0
train,1639,9.473409040306585,3.310713917703974,0.2672161586634458,0.005476715753098918,0.14644640684127808,0.6000653505325317,1.0
train,1640,9.495351502802011,3.325811783210986,0.26759284850314907,0.0054877807574601565,0.13941948115825653,0.5716210603713989,1.0
test,1640,8.110981882261754,2.4889948712159318,0.27121815420666756,0.005562128345562628,0.11823954433202744,0.4847830832004547,1.0
train,1641,9.465148597421377,3.296841283268515,0.26744833526443834,0.005488159857066725,0.13913314044475555,0.5707948207855225,1.0
train,1642,9.48576124465557,3.3133468544182216,0.26758605448963263,0.005494330408567767,0.1470191329717636,0.6035146713256836,1.0
train,1643,9.509809318846763,3.3318567258553586,0.2672937911724896,0.00549167021949311,0.14909051358699799,0.6123905181884766,1.0
train,1644,9.492251624042108,3.3109975536358998,0.26787039041082983,0.0055068647531943665,0.14987102150917053,0.615971028804779,1.0
train,1645,9.436956848803344,3.2537311563725617,0.26746936285840345,0.005501963483527127,0.14270217716693878,0.5868638157844543,1.0
train,1646,9.48760698201933,3.3068099400519975,0.2676097005878313,0.005508195079641549,0.13870994746685028,0.5707926154136658,1.0
train,1647,9.485957175002532,3.307419230813209,0.2674048068189289,0.005507319988806851,0.14450453221797943,0.5949985384941101,1.0
train,1648,9.445791698836862,3.265884818151413,0.2670923017382491,0.005504222128683733,0.1437956541776657,0.5924392938613892,1.0
train,1649,9.473930540688519,3.290582879489043,0.2667885377997668,0.0055012967029021516,0.14577941596508026,0.6009768843650818,1.0
train,1650,9.491340230682853,3.3037355369235675,0.26743440177909106,0.005517957297257874,0.14012236893177032,0.5780059099197388,1.0
train,1651,9.477758492387087,3.294761174771099,0.2667786081413886,0.00550776074724677,0.14839616417884827,0.6125063300132751,1.0
train,1652,9.44669392394182,3.269035347730216,0.2670591607706214,0.005516890784354049,0.14479921758174896,0.598021924495697,1.0
train,1653,9.448074556818996,3.2598684054785405,0.26700681929966924,0.005519146769132035,0.14074768126010895,0.581640899181366,1.0
train,1654,9.483401446127866,3.2917063853001793,0.2675231999195935,0.005533164286120958,0.13988785445690155,0.578437328338623,1.0
train,1655,9.45475777382821,3.264864293812746,0.26690785910155895,0.0055237732481209995,0.14731314778327942,0.609509289264679,1.0
train,1656,9.451570455032611,3.2619661400268423,0.26664507838338886,0.00552166761800773,0.146635040640831,0.6070701479911804,1.0
train,1657,9.49085061261386,3.298093838347998,0.2670092277373318,0.005532545678923909,0.14389777183532715,0.5960976481437683,1.0
train,1658,9.451013897261776,3.264835629845294,0.2664323653923562,0.005523922915333231,0.13787129521369934,0.5714775919914246,1.0
train,1659,9.434994183221756,3.2423995374281067,0.2668199577568827,0.0055352937556735265,0.14725099503993988,0.610724687576294,1.0
train,1660,9.450480664557169,3.259653632299742,0.266331592061517,0.005528491213143565,0.14391015470027924,0.5972282290458679,1.0
test,1660,8.065308599644743,2.4139532462888122,0.27168752036365923,0.005639669171144811,0.12268953770399094,0.5091624855995178,1.0
train,1661,9.45009908351626,3.2573520284932567,0.26630928941231874,0.00553135678965525,0.14526315033435822,0.6032063364982605,1.0
train,1662,9.488493811547691,3.281622246338516,0.26686358530356513,0.005546205211436134,0.14401881396770477,0.5983993411064148,1.0
train,1663,9.503546167632576,3.284357483379142,0.267105424268927,0.005554569815832311,0.1383679360151291,0.5752658247947693,1.0
train,1664,9.460687927304717,3.2639912431858593,0.26648086913548846,0.005544912606501714,0.1467154622077942,0.610337495803833,1.0
train,1665,9.444953578930829,3.2520266329461385,0.26565790926629357,0.005531108915173738,0.1375739872455597,0.5726528167724609,1.0
train,1666,9.482688802613733,3.2721763412637497,0.26675978450167975,0.005557384582841274,0.1404028832912445,0.5847791433334351,1.0
train,1667,9.422181280201013,3.215360237397949,0.2664238678157177,0.005553716423553614,0.13935542106628418,0.580764889717102,1.0
train,1668,9.496565467047246,3.276916302912322,0.2662720029449184,0.005553878804304857,0.14302994310855865,0.5964359641075134,1.0
train,1669,9.470385246123318,3.264182142752498,0.26614338358025214,0.005554522532144819,0.14414602518081665,0.6014504432678223,1.0
train,1670,9.425597958542077,3.2208746565683746,0.26583066703721014,0.005551318559554695,0.1373450607061386,0.5734166502952576,1.0
train,1671,9.424506543365712,3.223736000549562,0.2656876877729944,0.005551653500078316,0.14836430549621582,0.6197931170463562,1.0
train,1672,9.451086332891348,3.2387224540054427,0.2663004177636469,0.005567785167564731,0.14658966660499573,0.6127459406852722,1.0
train,1673,9.430570135524846,3.216183497362245,0.2659360283336228,0.00556349041409097,0.1361132115125656,0.5692945718765259,1.0
train,1674,9.437726790940767,3.227821620881143,0.2658348830244369,0.005564697016623858,0.1418677419424057,0.593717634677887,1.0
train,1675,9.430681584564443,3.211440252812843,0.26627378048497247,0.00557721250598107,0.14632993936538696,0.6127578616142273,1.0
train,1676,9.451096827147254,3.229180060678727,0.2660720719115184,0.005576313206274771,0.14330129325389862,0.6004335284233093,1.0
train,1677,9.448303682918388,3.232574708549871,0.2656406126221239,0.0055705908990832855,0.13452139496803284,0.5639819502830505,1.0
train,1678,9.471609014056778,3.2424106814248024,0.26624216372130166,0.00558653336275311,0.149653360247612,0.6277970671653748,1.0
train,1679,9.4561278381236,3.2221140186297252,0.26632766919043577,0.005591656278630461,0.14538617432117462,0.6102596521377563,1.0
train,1680,9.423880449372511,3.205604511348921,0.2653976528364531,0.005575447351022924,0.14471232891082764,0.6077929735183716,1.0
test,1680,7.995536960150351,2.3086772365371204,0.27089369491094295,0.005690907653319599,0.11484749615192413,0.4823603630065918,1.0
train,1681,9.415736402210804,3.195702350056743,0.2653329195315001,0.005577403770053796,0.14144735038280487,0.5944337248802185,1.0
train,1682,9.463284144591727,3.2287705299664973,0.26581318265912823,0.005590821425018221,0.14258240163326263,0.5995602011680603,1.0
train,1683,9.424377203423855,3.199833702090194,0.2652887525115308,0.005583106917273348,0.13927890360355377,0.5860171318054199,1.0
train,1684,9.399921427704761,3.1812554871342447,0.26534715799721786,0.005587652591653824,0.14376749098300934,0.605262279510498,1.0
train,1685,9.483758935115297,3.241174954003656,0.2660232757501361,0.005605215166720196,0.14394918084144592,0.6063870787620544,1.0
train,1686,9.436180192212504,3.204793467348938,0.26524751176774786,0.005592184776491913,0.140428364276886,0.5919066667556763,1.0
train,1687,9.441892480483824,3.202802963061425,0.26577394696935996,0.0056066053953754,0.13978047668933868,0.5895252227783203,1.0
train,1688,9.454429255184392,3.222234413992822,0.26539655714038524,0.005601961334497967,0.14248302578926086,0.6012794375419617,1.0
train,1689,9.467377557625406,3.2219822950254984,0.2653863057521425,0.005605061946411612,0.1469227522611618,0.62038254737854,1.0
train,1690,9.395740704792914,3.1681519727152083,0.2649422480516542,0.005598994722072702,0.14407099783420563,0.6087010502815247,1.0
train,1691,9.439702586380937,3.209050719745858,0.2648791352602487,0.005600971624643954,0.1518690288066864,0.6420275568962097,1.0
train,1692,9.412641534341198,3.1707445431488406,0.26563265451877227,0.005620225156552915,0.13864284753799438,0.586460292339325,1.0
train,1693,9.45815640703209,3.2111752032361274,0.2653370371154495,0.005617286898822058,0.1421966403722763,0.601848304271698,1.0
train,1694,9.42069744287373,3.190280421592358,0.2641892291842648,0.005596289399575853,0.14315874874591827,0.6062784194946289,1.0
train,1695,9.403883051880976,3.170436196130054,0.2643325643752287,0.005602629478723141,0.1400945633649826,0.5936517715454102,1.0
train,1696,9.404670974251292,3.166154559261407,0.2647341572230786,0.005614450238288185,0.13632233440876007,0.578007698059082,1.0
train,1697,9.383677938330797,3.1396752646062733,0.26477348433716846,0.0056185936205919084,0.13509371876716614,0.5731361508369446,1.0
train,1698,9.429610878043762,3.1803816660306325,0.26462865216017556,0.005618827754307118,0.14841413497924805,0.6300191879272461,1.0
train,1699,9.426561642774853,3.1753416874449725,0.2652803261202419,0.0056359803401472425,0.13917513191699982,0.5911475419998169,1.0
train,1700,9.410386839586433,3.16489710495492,0.2646804178672704,0.005626543237970201,0.14405958354473114,0.6122544407844543,1.0
test,1700,8.011269953867101,2.292381999739917,0.2680866945502918,0.005698953441913285,0.11962415277957916,0.5084036588668823,1.0
train,1701,9.431031041122644,3.1795180286193916,0.26473169504745603,0.005630942097130414,0.14191298186779022,0.6034860610961914,1.0
train,1702,9.406451985289053,3.156173214736196,0.26445495920917556,0.005628361178841584,0.14073531329631805,0.5988298654556274,1.0
train,1703,9.42353997403259,3.1683790456057905,0.2645486160987382,0.005633660993496358,0.14501284062862396,0.6173933148384094,1.0
train,1704,9.412424760295758,3.1604549213944013,0.26431573950847426,0.005632005416400434,0.14572183787822723,0.6207762360572815,1.0
train,1705,9.420966182573348,3.167180636057346,0.26446486793068624,0.00563848850570228,0.14157764613628387,0.6034758687019348,1.0
train,1706,9.435154716653612,3.1736617690252813,0.26452119438542665,0.005642995590766052,0.14730708301067352,0.628265917301178,1.0
train,1707,9.397022807724607,3.1474925047130844,0.26395303549628707,0.005634174215467498,0.14498750865459442,0.6187353134155273,1.0
train,1708,9.428373234201342,3.1706386025990927,0.2642863601980478,0.005644592402451278,0.1393650323152542,0.595089852809906,1.0
train,1709,9.47282538778652,3.204849114751275,0.2644012268323232,0.0056503503933530074,0.13692401349544525,0.5850089192390442,1.0
train,1710,9.35573973727235,3.090060449370612,0.26438443476666124,0.005653296015755737,0.1437363624572754,0.6144740581512451,1.0
train,1711,9.392369294402105,3.1369677423951043,0.2637559735116355,0.005643154335126873,0.13967253267765045,0.597450315952301,1.0
