Mode,Epoch,Total Loss,Cross Entropy Loss,KL Div,KL Div * Beta,Reg Loss,Reg Loss * Gamma
train,0,65.90371634036569,62.45204156343001,0.09023774874405147,9.023774874405145e-08,2.9080543518066406,0.0
test,0,60.92929230918516,58.62648205914552,0.11676100433849898,1.1676100433849897e-07,2.895904779434204,0.0
train,1,61.654922670849224,59.064119616486046,0.10830041076876071,2.436623866783655e-07,2.846081495285034,0.0
train,2,59.337560584606855,56.785219200965805,0.11985309859370119,4.1945588180330573e-07,2.8169713020324707,0.0
train,3,58.696674673365436,56.207009535206915,0.17787395663435185,8.448345912794334e-07,2.8461930751800537,0.0
train,4,58.42519985513635,55.95255284810349,0.1946416796274553,1.167752756924918e-06,2.8414645195007324,0.0
train,5,51.96774716773262,49.17686490591134,0.2348329037590226,1.7023917816880645e-06,2.839068651199341,0.0
train,6,47.05230120519055,44.337052631394236,0.3129529450167182,2.6598653179333422e-06,2.858794689178467,0.0
train,7,46.127840802419044,43.51892246809899,0.35115363488225976,3.423440680671511e-06,2.8482720851898193,0.0
train,8,45.73326294302599,43.160076300080014,0.37446118113339816,4.118698531286246e-06,2.8318943977355957,0.0
train,9,45.34934322569879,42.79420835760711,0.3999413231059217,4.898831274059047e-06,2.843245029449463,0.0
train,10,45.09659685165625,42.562356660431526,0.4229398413934514,5.709159184009852e-06,2.852959394454956,0.0
train,11,44.90567001907406,42.38648109365349,0.4349998008449138,6.415648937736317e-06,2.841573715209961,0.0
train,12,44.72784822219693,42.231811228697566,0.4511359133011662,7.217497908948707e-06,2.858548402786255,0.0
train,13,44.56187883023966,42.07779116247403,0.45982452860392087,7.931225903558654e-06,2.853210210800171,0.0
train,14,44.42756076311301,41.949626395888316,0.46855715354787913,8.667487365617056e-06,2.8423526287078857,0.0
train,15,44.53514167729524,42.04999326622073,0.48038156010205074,9.48663509659031e-06,2.842026710510254,0.0
train,16,44.507342617290455,42.02668473893116,0.48760003404726016,1.0238625514924368e-05,2.8237807750701904,0.0
train,17,44.19788333499336,41.70702806955051,0.4974033994673076,1.1066168655923727e-05,2.8354389667510986,0.0
train,18,43.653531210487714,41.18288429042198,0.5051960636412879,1.1870970804427073e-05,2.835195779800415,0.0
train,19,43.38962285960033,40.91823344016719,0.5128729035902668,1.2692386290713079e-05,2.8318042755126953,0.0
train,20,43.09406255541796,40.6312292941771,0.524374618757326,1.3632429151143583e-05,2.825810194015503,0.0
test,20,42.22487546919491,39.913326514428476,0.5606709464651639,1.4576042930728099e-05,2.814445734024048,0.0
train,21,42.9630880568429,40.49768671651272,0.5318804966940872,1.4492347348610056e-05,2.811969041824341,0.0
