Mode,Epoch,Total Loss,Cross Entropy Loss,KL Div,KL Div * Beta,Reg Loss,Reg Loss * Gamma,Delta
train,0,65.71186217,62.41197833,0.093899553,9.39E-07,0.965725839,0,1
test,0,61.85258742,59.54877346,0.107029127,1.07E-06,0.954829216,0,1
train,1,60.24796205,57.63868402,0.111635042,2.51E-06,0.964042604,0,1
train,2,59.07497771,56.55447061,0.169326882,5.93E-06,0.96149677,0,1
train,3,57.32492188,54.73519264,0.197916429,9.40E-06,0.920409024,0,1
train,4,49.8024019,47.00194178,0.289636127,1.74E-05,0.924228311,0,1
train,5,47.41408277,44.77983433,0.341520065,2.48E-05,0.930808067,0,1
train,6,46.56159526,43.96331548,0.373058184,3.17E-05,0.929622352,0,1
train,7,45.9783361,43.41526288,0.395209149,3.85E-05,0.914052308,0,1
train,8,45.7499968,43.18258431,0.409696607,4.51E-05,0.923837781,0,1
train,9,45.85925414,43.28674924,0.423758506,5.19E-05,0.901574254,0,1
train,10,45.98471642,43.40664926,0.432320022,5.84E-05,0.936259866,0,1
train,11,45.80113802,43.24083754,0.436489595,6.44E-05,0.938354492,0,1
train,12,45.58206326,43.02835354,0.435803827,6.97E-05,0.910123646,0,1
train,13,45.26821894,42.74087604,0.433034299,7.47E-05,0.924158216,0,1
train,14,45.06938985,42.54783906,0.431115549,7.97E-05,0.928351998,0,1
train,15,45.0225851,42.49958296,0.431759105,8.53E-05,0.91702956,0,1
train,16,45.26140359,42.7219659,0.430946008,9.05E-05,0.901353776,0,1
train,17,45.31027927,42.78112931,0.425772314,9.47E-05,0.912164032,0,1
train,18,45.15725942,42.63212483,0.420598797,9.88E-05,0.91762799,0,1
train,19,44.87926482,42.36461107,0.417611854,0.000103349,0.914493978,0,1
train,20,45.03278149,42.50901552,0.418889907,0.000108901,0.897313118,0,1
test,20,44.62053849,42.25873422,0.437432344,0.000113721,0.921302438,0,1
train,21,44.75116166,42.2449304,0.414049817,0.000112818,0.927093327,0,1
train,22,45.06076772,42.52402592,0.411921721,0.000117386,0.929029405,0,1
train,23,44.97306332,42.4520977,0.410548354,0.000122126,0.911283791,0,1
train,24,44.85817278,42.33662928,0.405058856,0.000125556,0.940443516,0,1
train,25,45.09320716,42.55514483,0.403733596,0.000130191,0.889402986,0,1
train,26,44.71889363,42.20027053,0.401132312,0.000134366,0.908973992,0,1
train,27,44.57128394,42.05067781,0.401205841,0.000139405,0.916075349,0,1
train,28,43.97330364,41.44985474,0.40512495,0.000145831,0.93774426,0,1
train,29,43.23692494,40.70436259,0.406509251,0.00015141,0.934106946,0,1
train,30,43.36213997,40.81092845,0.407253526,0.000156777,0.92843163,0,1
train,31,42.92295773,40.39615805,0.405525599,0.000161181,0.924356639,0,1
train,32,42.80107179,40.27057749,0.403501887,0.00016542,0.913499832,0,1
train,33,42.8096911,40.27719332,0.40411371,0.000170721,0.922820687,0,1
train,34,42.99195656,40.44854439,0.402351823,0.000175006,0.918529212,0,1
train,35,42.71990178,40.17219972,0.399364573,0.000178698,0.914052606,0,1
train,36,42.86203628,40.30926391,0.402423356,0.000185097,0.916288853,0,1
train,37,42.72489161,40.18166635,0.395128265,0.00018668,0.924528122,0,1
train,38,42.53986206,40.00187559,0.393435848,0.000190798,0.9471367,0,1
train,39,42.72950922,40.1744529,0.39357522,0.000195784,0.940681934,0,1
train,40,42.63882662,40.0897588,0.391577976,0.000199685,0.909848869,0,1
test,40,42.19573119,39.78514964,0.401547262,0.000204769,0.925704777,0,1
train,41,42.46963268,39.91683631,0.389546118,0.000203518,0.909324169,0,1
train,42,42.29050208,39.74572307,0.38655735,0.000206788,0.936621189,0,1
train,43,42.22592112,39.67967258,0.387437382,0.000212101,0.901305795,0,1
train,44,42.18485922,39.63524837,0.390905454,0.000218886,0.947783589,0,1
train,45,41.93152817,39.3611605,0.392255914,0.000224544,0.928196371,0,1
train,46,41.45037491,38.89337486,0.384656499,0.000225002,0.921997249,0,1
train,47,41.11049004,38.55522393,0.389142532,0.00023249,0.951766014,0,1
train,48,41.04705197,38.48459297,0.38795326,0.000236628,0.93702203,0,1
train,49,41.21167895,38.63605029,0.383843404,0.000238919,0.944998741,0,1
train,50,41.00704085,38.44092815,0.380281785,0.000241455,0.910569608,0,1
train,51,40.85672839,38.29171535,0.38178367,0.000247181,0.951214254,0,1
train,52,40.77490826,38.20683535,0.378256359,0.000249625,0.928808391,0,1
train,53,40.77647404,38.20412278,0.378706511,0.000254655,0.933511555,0,1
train,54,40.74304239,38.1666614,0.377837572,0.000258793,0.939123929,0,1
train,55,40.63980378,38.06382406,0.379237475,0.000264492,0.928428829,0,1
train,56,40.61707103,38.04417998,0.37417356,0.000265637,0.933790684,0,1
train,57,40.62795386,38.04547894,0.376153863,0.000271744,0.941194057,0,1
train,58,40.52121815,37.94063327,0.3739255,0.000274808,0.929527402,0,1
