Mode,Epoch,Total Loss,Cross Entropy Loss,KL Div,KL Div * Beta,Reg Loss,Reg Loss * Gamma,Delta
train,900,13.09699246301522,8.363932805317816,0.3020117215694982,0.0034003122216857843,78.62676239013672,0.0,1.0
test,900,8.868855664602293,4.797428458356674,0.30951165533685066,0.0034847530384806845,75.4502182006836,0.0,1.0
train,901,10.335303800340716,5.813679566367659,0.3004523890383986,0.003386511170932194,77.751708984375,0.0,1.0
train,902,10.264992113040124,5.741728530364555,0.30017913918856337,0.003387183133763503,75.00890350341797,0.0,1.0
train,903,10.235676703329187,5.708290030308098,0.30092260456329467,0.003399333458663921,81.30455780029297,0.0,1.0
train,904,10.241066263396357,5.712210327550426,0.3005168717988367,0.0033985062359797105,77.77330017089844,0.0,1.0
train,905,10.224433107163241,5.699479896944607,0.2999629178764268,0.003395990804604995,80.1710205078125,0.0,1.0
train,906,10.213927307715139,5.681072258835872,0.2998806778607332,0.0033988078686837337,77.35509490966797,0.0,1.0
train,907,10.220268787589214,5.691283693952173,0.29940352246214347,0.003397142022395581,74.74248504638672,0.0,1.0
train,908,10.222493609970321,5.684763411833522,0.30056245833842515,0.003414048388334296,77.4083480834961,0.0,1.0
train,909,10.209829130148304,5.675565270857631,0.30000227151054887,0.0034114349551727136,75.61219787597656,0.0,1.0
train,910,10.224304434409563,5.69431519046006,0.29863542346696126,0.0033996245983771603,83.03221130371094,0.0,1.0
train,911,10.207541011080304,5.66288623886583,0.29980285482619473,0.003416661637380621,82.90943908691406,0.0,1.0
train,912,10.228352303126336,5.688814198800682,0.2992511348675512,0.0034141143025450114,78.25508880615234,0.0,1.0
train,913,10.218408653337441,5.682489299529906,0.2994749583562913,0.0034204109360285134,77.14047241210938,0.0,1.0
train,914,10.169745923309941,5.630223653537207,0.29916544166450487,0.0034206150289165117,79.92737579345703,0.0,1.0
train,915,10.136184416714057,5.59764778592235,0.29922756623576247,0.0034250653229550092,81.0656967163086,0.0,1.0
