Mode,Epoch,Total Loss,Cross Entropy Loss,KL Div,KL Div * Beta,Reg Loss,Reg Loss * Gamma,Delta
train,0,65.71186217,62.41197833,0.093899553,9.39E-07,4.737214565,0,10
test,0,61.85258742,59.54877346,0.107029127,1.07E-06,4.714124203,0,10
train,1,60.24796205,57.63868402,0.111635042,2.51E-06,4.838693142,0,10
train,2,59.07497771,56.55447061,0.169326882,5.93E-06,4.898516178,0,10
train,3,57.32492188,54.73519264,0.197916429,9.40E-06,4.797252178,0,10
train,4,49.8024019,47.00194178,0.289636127,1.74E-05,4.579452038,0,10
train,5,47.41408277,44.77983433,0.341520065,2.48E-05,4.406350613,0,10
train,6,46.56159526,43.96331548,0.373058184,3.17E-05,4.469920635,0,10
train,7,45.9783361,43.41526288,0.395209149,3.85E-05,4.420336246,0,10
train,8,45.7499968,43.18258431,0.409696607,4.51E-05,4.415806293,0,10
train,9,45.85925414,43.28674924,0.423758506,5.19E-05,4.396636486,0,10
train,10,45.98471642,43.40664926,0.432320022,5.84E-05,4.444852352,0,10
train,11,45.80113802,43.24083754,0.436489595,6.44E-05,4.414372921,0,10
train,12,45.58206326,43.02835354,0.435803827,6.97E-05,4.408591747,0,10
train,13,45.26821894,42.74087604,0.433034299,7.47E-05,4.363393307,0,10
train,14,45.06938985,42.54783906,0.431115549,7.97E-05,4.387138367,0,10
train,15,45.0225851,42.49958296,0.431759105,8.53E-05,4.505179882,0,10
train,16,45.26140359,42.7219659,0.430946008,9.05E-05,4.389704227,0,10
train,17,45.31027927,42.78112931,0.425772314,9.47E-05,4.380179882,0,10
train,18,45.15725942,42.63212483,0.420598797,9.88E-05,4.4926157,0,10
train,19,44.87926482,42.36461107,0.417611854,0.000103349,4.589644909,0,10
train,20,45.03278149,42.50901552,0.418889907,0.000108901,4.477761745,0,10
test,20,44.62053849,42.25873422,0.437432344,0.000113721,4.35424757,0,10
train,21,44.75116166,42.2449304,0.414049817,0.000112818,4.390905857,0,10
train,22,45.06076772,42.52402592,0.411921721,0.000117386,4.47756958,0,10
train,23,44.97306332,42.4520977,0.410548354,0.000122126,4.508259773,0,10
train,24,44.85817278,42.33662928,0.405058856,0.000125556,4.540905952,0,10
train,25,45.09320716,42.55514483,0.403733596,0.000130191,4.484537601,0,10
train,26,44.71889363,42.20027053,0.401132312,0.000134366,4.518449306,0,10
train,27,44.57128394,42.05067781,0.401205841,0.000139405,4.619250298,0,10
train,28,43.97330364,41.44985474,0.40512495,0.000145831,4.617398739,0,10
train,29,43.23692494,40.70436259,0.406509251,0.00015141,4.703904152,0,10
train,30,43.36213997,40.81092845,0.407253526,0.000156777,4.620772839,0,10
train,31,42.92295773,40.39615805,0.405525599,0.000161181,4.665836334,0,10
train,32,42.80107179,40.27057749,0.403501887,0.00016542,4.606999874,0,10
train,33,42.8096911,40.27719332,0.40411371,0.000170721,4.55176115,0,10
train,34,42.99195656,40.44854439,0.402351823,0.000175006,4.544376373,0,10
train,35,42.71990178,40.17219972,0.399364573,0.000178698,4.581240177,0,10
train,36,42.86203628,40.30926391,0.402423356,0.000185097,4.574373722,0,10
train,37,42.72489161,40.18166635,0.395128265,0.00018668,4.604001522,0,10
train,38,42.53986206,40.00187559,0.393435848,0.000190798,4.602280617,0,10
train,39,42.72950922,40.1744529,0.39357522,0.000195784,4.613226414,0,10
train,40,42.63882662,40.0897588,0.391577976,0.000199685,4.594375134,0,10
test,40,42.19573119,39.78514964,0.401547262,0.000204769,4.526008129,0,10
train,41,42.46963268,39.91683631,0.389546118,0.000203518,4.619817257,0,10
train,42,42.29050208,39.74572307,0.38655735,0.000206788,4.59759903,0,10
train,43,42.22592112,39.67967258,0.387437382,0.000212101,4.514510155,0,10
train,44,42.18485922,39.63524837,0.390905454,0.000218886,4.592115402,0,10
train,45,41.93152817,39.3611605,0.392255914,0.000224544,4.70770216,0,10
train,46,41.45037491,38.89337486,0.384656499,0.000225002,4.693099499,0,10
train,47,41.11049004,38.55522393,0.389142532,0.00023249,4.668987274,0,10
train,48,41.04705197,38.48459297,0.38795326,0.000236628,4.600705624,0,10
train,49,41.21167895,38.63605029,0.383843404,0.000238919,4.633330822,0,10
train,50,41.00704085,38.44092815,0.380281785,0.000241455,4.572240353,0,10
train,51,40.85672839,38.29171535,0.38178367,0.000247181,4.623942852,0,10
