Mode,Epoch,Total Loss,Cross Entropy Loss,KL Div,KL Div * Beta,Reg Loss,Reg Loss * Gamma,Delta
train,0,65.24513985,61.92026711,0.094958398,9.50E-07,1.05E+27,0,1
test,0,61.20420209,58.90087668,0.119802735,1.20E-06,9.58E+26,0,1
train,1,60.89338138,58.31608354,0.101231116,2.28E-06,8.35E+26,0,1
train,2,58.96188028,56.44934849,0.143181944,5.01E-06,9.68E+26,0,1
train,3,57.36268084,54.80208891,0.186870515,8.88E-06,9.63E+26,0,1
train,4,48.89091439,46.10686427,0.280816881,1.68E-05,1.04E+27,0,1
train,5,46.3059575,43.68627677,0.359528735,2.61E-05,1.04E+27,0,1
train,6,45.58164293,43.02568297,0.393763126,3.35E-05,1.00E+27,0,1
train,7,45.2913521,42.75927936,0.404714627,3.95E-05,8.98E+26,0,1
train,8,45.17763888,42.65580235,0.415884027,4.57E-05,1.10E+27,0,1
train,9,45.06968018,42.56004473,0.426935537,5.23E-05,1.11E+27,0,1
train,10,44.97146431,42.46670902,0.435957102,5.88E-05,7.35E+26,0,1
train,11,44.91094448,42.41485191,0.443759326,6.54E-05,1.06E+27,0,1
train,12,44.85352205,42.35820233,0.451454087,7.22E-05,9.25E+26,0,1
train,13,45.41796968,42.89333415,0.456522502,7.87E-05,9.42E+26,0,1
train,14,45.14380386,42.64414369,0.456357,8.44E-05,9.17E+26,0,1
train,15,45.17923265,42.67402492,0.445072197,8.79E-05,1.09E+27,0,1
train,16,45.02522582,42.53708545,0.440451826,9.25E-05,1.10E+27,0,1
train,17,44.89787745,42.41332178,0.432735133,9.63E-05,9.13E+26,0,1
train,18,44.94915792,42.44412989,0.430899715,0.000101252,9.60E+26,0,1
train,19,44.8660027,42.38495594,0.428714227,0.000106097,9.90E+26,0,1
train,20,44.80626575,42.31970882,0.422692801,0.00010989,1.20E+27,0,1
test,20,44.45432648,42.0907102,0.45610995,0.000118577,7.85E+26,0,1
train,21,44.76632917,42.28682771,0.420663475,0.00011462,1.03E+27,0,1
train,22,44.7144432,42.22630042,0.422212844,0.000120319,9.54E+26,0,1
train,23,44.52326414,42.04730622,0.420835829,0.000125187,9.55E+26,0,1
train,24,44.47731416,42.0034556,0.416504907,0.000129104,9.90E+26,0,1
train,25,44.47781911,41.99645716,0.41827824,0.000134882,8.56E+26,0,1
train,26,44.83903658,42.34176461,0.41480521,0.000138946,1.12E+27,0,1
train,27,44.56296977,42.06619307,0.414111708,0.00014389,1.07E+27,0,1
train,28,44.93944736,42.44198383,0.407071711,0.000146532,1.00E+27,0,1
train,29,44.54950296,42.06557251,0.399325426,0.000148734,9.12E+26,0,1
train,30,44.51746518,42.03371204,0.39714452,0.000152886,9.17E+26,0,1
train,31,44.49249417,42.007673,0.398112603,0.000158234,9.09E+26,0,1
train,32,44.31031261,41.80987351,0.403612797,0.000165465,8.46E+26,0,1
train,33,44.22508901,41.71774361,0.408916767,0.00017275,8.49E+26,0,1
train,34,44.26399841,41.74748709,0.409185471,0.000177978,7.11E+26,0,1
train,35,44.58883766,42.07692629,0.411895928,0.000184305,1.09E+27,0,1
train,36,44.23841716,41.71069016,0.407520549,0.000187441,8.59E+26,0,1
train,37,44.44411968,41.89940648,0.41592902,0.000196507,1.10E+27,0,1
train,38,44.09141809,41.57115681,0.414005561,0.000200773,9.12E+26,0,1
train,39,44.08660967,41.53569017,0.416937684,0.000207406,9.06E+26,0,1
