Mode,Epoch,Total Loss,Cross Entropy Loss,KL Div,KL Div * Beta,Reg Loss,Reg Loss * Gamma,Delta
train,0,65.71186217,62.41197833,0.093899553,9.39E-07,1.073607087,0,1
test,0,61.85258742,59.54877346,0.107029127,1.07E-06,1.216365457,0,1
train,1,60.24796205,57.63868402,0.111635042,2.51E-06,1.237931728,0,1
train,2,59.07497771,56.55447061,0.169326882,5.93E-06,1.399855971,0,1
train,3,57.32492188,54.73519264,0.197916429,9.40E-06,1.063809752,0,1
train,4,49.8024019,47.00194178,0.289636127,1.74E-05,1.341950297,0,1
train,5,47.41408277,44.77983433,0.341520065,2.48E-05,1.222489834,0,1
train,6,46.56159526,43.96331548,0.373058184,3.17E-05,1.171194911,0,1
train,7,45.9783361,43.41526288,0.395209149,3.85E-05,1.148975372,0,1
train,8,45.7499968,43.18258431,0.409696607,4.51E-05,1.114137888,0,1
train,9,45.85925414,43.28674924,0.423758506,5.19E-05,1.094723582,0,1
train,10,45.98471642,43.40664926,0.432320022,5.84E-05,1.222717643,0,1
train,11,45.80113802,43.24083754,0.436489595,6.44E-05,1.185774446,0,1
train,12,45.58206326,43.02835354,0.435803827,6.97E-05,1.136310935,0,1
train,13,45.26821894,42.74087604,0.433034299,7.47E-05,1.115758181,0,1
train,14,45.06938985,42.54783906,0.431115549,7.97E-05,1.154212356,0,1
train,15,45.0225851,42.49958296,0.431759105,8.53E-05,1.201970458,0,1
train,16,45.26140359,42.7219659,0.430946008,9.05E-05,1.112372756,0,1
train,17,45.31027927,42.78112931,0.425772314,9.47E-05,1.166912913,0,1
train,18,45.15725942,42.63212483,0.420598797,9.88E-05,1.18013978,0,1
train,19,44.87926482,42.36461107,0.417611854,0.000103349,1.241072655,0,1
train,20,45.03278149,42.50901552,0.418889907,0.000108901,1.174082041,0,1
test,20,44.62053849,42.25873422,0.437432344,0.000113721,1.212137461,0,1
train,21,44.75116166,42.2449304,0.414049817,0.000112818,1.145943999,0,1
train,22,45.06076772,42.52402592,0.411921721,0.000117386,1.178470492,0,1
train,23,44.97306332,42.4520977,0.410548354,0.000122126,1.22651124,0,1
train,24,44.85817278,42.33662928,0.405058856,0.000125556,1.230952382,0,1
train,25,45.09320716,42.55514483,0.403733596,0.000130191,1.165389419,0,1
train,26,44.71889363,42.20027053,0.401132312,0.000134366,1.184363961,0,1
train,27,44.57128394,42.05067781,0.401205841,0.000139405,1.251193285,0,1
train,28,43.97330364,41.44985474,0.40512495,0.000145831,1.169032931,0,1
train,29,43.23692494,40.70436259,0.406509251,0.00015141,1.260574937,0,1
train,30,43.36213997,40.81092845,0.407253526,0.000156777,1.207704425,0,1
