Mode,Epoch,Total Loss,Cross Entropy Loss,KL Div,KL Div * Beta,Reg Loss,Reg Loss * Gamma,Delta
train,0,65.71186217,62.41197833,0.093899553,9.39E-07,2.982395649,0,1
test,0,61.85258742,59.54877346,0.107029127,1.07E-06,3.061745882,0,1
train,1,60.24796205,57.63868402,0.111635042,2.51E-06,3.506603241,0,1
train,2,59.07497771,56.55447061,0.169326882,5.93E-06,3.611602545,0,1
train,3,57.32492188,54.73519264,0.197916429,9.40E-06,2.703470945,0,1
train,4,49.8024019,47.00194178,0.289636127,1.74E-05,2.985528231,0,1
train,5,47.41408277,44.77983433,0.341520065,2.48E-05,2.752007246,0,1
train,6,46.56159526,43.96331548,0.373058184,3.17E-05,2.696283102,0,1
train,7,45.9783361,43.41526288,0.395209149,3.85E-05,2.62343502,0,1
train,8,45.7499968,43.18258431,0.409696607,4.51E-05,2.606197119,0,1
train,9,45.85925414,43.28674924,0.423758506,5.19E-05,2.555463076,0,1
train,10,45.98471642,43.40664926,0.432320022,5.84E-05,2.719942331,0,1
train,11,45.80113802,43.24083754,0.436489595,6.44E-05,2.670807362,0,1
train,12,45.58206326,43.02835354,0.435803827,6.97E-05,2.610037088,0,1
train,13,45.26821894,42.74087604,0.433034299,7.47E-05,2.612428188,0,1
train,14,45.06938985,42.54783906,0.431115549,7.97E-05,2.635694027,0,1
train,15,45.0225851,42.49958296,0.431759105,8.53E-05,2.727172613,0,1
train,16,45.26140359,42.7219659,0.430946008,9.05E-05,2.62911129,0,1
train,17,45.31027927,42.78112931,0.425772314,9.47E-05,2.650847197,0,1
train,18,45.15725942,42.63212483,0.420598797,9.88E-05,2.730447054,0,1
train,19,44.87926482,42.36461107,0.417611854,0.000103349,2.791204691,0,1
train,20,45.03278149,42.50901552,0.418889907,0.000108901,2.681487322,0,1
test,20,44.62053849,42.25873422,0.437432344,0.000113721,2.6914289,0,1
train,21,44.75116166,42.2449304,0.414049817,0.000112818,2.665832281,0,1
train,22,45.06076772,42.52402592,0.411921721,0.000117386,2.735373974,0,1
train,23,44.97306332,42.4520977,0.410548354,0.000122126,2.748045683,0,1
train,24,44.85817278,42.33662928,0.405058856,0.000125556,2.818087339,0,1
train,25,45.09320716,42.55514483,0.403733596,0.000130191,2.682962418,0,1
train,26,44.71889363,42.20027053,0.401132312,0.000134366,2.721068859,0,1
