Mode,Epoch,Total Loss,Cross Entropy Loss,KL Div,KL Div * Beta,Reg Loss,Reg Loss * Gamma,Delta
train,0,65.71186217,62.41197833,0.093899553,9.39E-07,2.41641593,0,0.6
test,0,61.85258742,59.54877346,0.107029127,1.07E-06,2.523533583,0,0.6
train,1,60.24796205,57.63868402,0.111635042,2.51E-06,2.881925583,0,0.6
train,2,59.07497771,56.55447061,0.169326882,5.93E-06,3.002554655,0,0.6
train,3,57.32492188,54.73519264,0.197916429,9.40E-06,2.196985483,0,0.6
train,4,49.8024019,47.00194178,0.289636127,1.74E-05,2.506416798,0,0.6
train,5,47.41408277,44.77983433,0.341520065,2.48E-05,2.290875196,0,0.6
train,6,46.56159526,43.96331548,0.373058184,3.17E-05,2.248432875,0,0.6
train,7,45.9783361,43.41526288,0.395209149,3.85E-05,2.175787687,0,0.6
train,8,45.7499968,43.18258431,0.409696607,4.51E-05,2.143921614,0,0.6
train,9,45.85925414,43.28674924,0.423758506,5.19E-05,2.104179859,0,0.6
train,10,45.98471642,43.40664926,0.432320022,5.84E-05,2.288944006,0,0.6
train,11,45.80113802,43.24083754,0.436489595,6.44E-05,2.241209745,0,0.6
train,12,45.58206326,43.02835354,0.435803827,6.97E-05,2.152213812,0,0.6
train,13,45.26821894,42.74087604,0.433034299,7.47E-05,2.156914473,0,0.6
train,14,45.06938985,42.54783906,0.431115549,7.97E-05,2.198876381,0,0.6
train,15,45.0225851,42.49958296,0.431759105,8.53E-05,2.254929304,0,0.6
train,16,45.26140359,42.7219659,0.430946008,9.05E-05,2.136700153,0,0.6
train,17,45.31027927,42.78112931,0.425772314,9.47E-05,2.177121878,0,0.6
train,18,45.15725942,42.63212483,0.420598797,9.88E-05,2.241152525,0,0.6
train,19,44.87926482,42.36461107,0.417611854,0.000103349,2.308129549,0,0.6
train,20,45.03278149,42.50901552,0.418889907,0.000108901,2.198433638,0,0.6
test,20,44.62053849,42.25873422,0.437432344,0.000113721,2.233532667,0,0.6
train,21,44.75116166,42.2449304,0.414049817,0.000112818,2.193374634,0,0.6
train,22,45.06076772,42.52402592,0.411921721,0.000117386,2.240305185,0,0.6
train,23,44.97306332,42.4520977,0.410548354,0.000122126,2.264394045,0,0.6
train,24,44.85817278,42.33662928,0.405058856,0.000125556,2.316503286,0,0.6
train,25,45.09320716,42.55514483,0.403733596,0.000130191,2.170194626,0,0.6
train,26,44.71889363,42.20027053,0.401132312,0.000134366,2.22483182,0,0.6
train,27,44.57128394,42.05067781,0.401205841,0.000139405,2.321322441,0,0.6
train,28,43.97330364,41.44985474,0.40512495,0.000145831,2.292696714,0,0.6
train,29,43.23692494,40.70436259,0.406509251,0.00015141,2.394098759,0,0.6
train,30,43.36213997,40.81092845,0.407253526,0.000156777,2.358016968,0,0.6
train,31,42.92295773,40.39615805,0.405525599,0.000161181,2.393235922,0,0.6
train,32,42.80107179,40.27057749,0.403501887,0.00016542,2.34561038,0,0.6
train,33,42.8096911,40.27719332,0.40411371,0.000170721,2.325180769,0,0.6
train,34,42.99195656,40.44854439,0.402351823,0.000175006,2.382588148,0,0.6
train,35,42.71990178,40.17219972,0.399364573,0.000178698,2.377378941,0,0.6
train,36,42.86203628,40.30926391,0.402423356,0.000185097,2.393738508,0,0.6
train,37,42.72489161,40.18166635,0.395128265,0.00018668,2.405813456,0,0.6
train,38,42.53986206,40.00187559,0.393435848,0.000190798,2.415426731,0,0.6
train,39,42.72950922,40.1744529,0.39357522,0.000195784,2.442599058,0,0.6
train,40,42.63882662,40.0897588,0.391577976,0.000199685,2.40080905,0,0.6
test,40,42.19573119,39.78514964,0.401547262,0.000204769,2.405449629,0,0.6
train,41,42.46963268,39.91683631,0.389546118,0.000203518,2.403615952,0,0.6
train,42,42.29050208,39.74572307,0.38655735,0.000206788,2.38904953,0,0.6
train,43,42.22592112,39.67967258,0.387437382,0.000212101,2.303898335,0,0.6
train,44,42.18485922,39.63524837,0.390905454,0.000218886,2.378090858,0,0.6
train,45,41.93152817,39.3611605,0.392255914,0.000224544,2.452945709,0,0.6
train,46,41.45037491,38.89337486,0.384656499,0.000225002,2.371491671,0,0.6
train,47,41.11049004,38.55522393,0.389142532,0.00023249,2.404086828,0,0.6
train,48,41.04705197,38.48459297,0.38795326,0.000236628,2.336711645,0,0.6
train,49,41.21167895,38.63605029,0.383843404,0.000238919,2.378852606,0,0.6
train,50,41.00704085,38.44092815,0.380281785,0.000241455,2.300792694,0,0.6
train,51,40.85672839,38.29171535,0.38178367,0.000247181,2.379755497,0,0.6
train,52,40.77490826,38.20683535,0.378256359,0.000249625,2.32632947,0,0.6
train,53,40.77647404,38.20412278,0.378706511,0.000254655,2.310054779,0,0.6
train,54,40.74304239,38.1666614,0.377837572,0.000258793,2.43898201,0,0.6
train,55,40.63980378,38.06382406,0.379237475,0.000264492,2.334303617,0,0.6
train,56,40.61707103,38.04417998,0.37417356,0.000265637,2.31126976,0,0.6
train,57,40.62795386,38.04547894,0.376153863,0.000271744,2.381274939,0,0.6
train,58,40.52121815,37.94063327,0.3739255,0.000274808,2.293842077,0,0.6
train,59,40.5177678,37.93298398,0.371193117,0.000277439,2.434174299,0,0.6
train,60,40.52150702,37.93614637,0.370197597,0.000281322,2.26530838,0,0.6
test,60,40.20325055,37.75296916,0.38220921,0.00029045,2.315830708,0,0.6
train,61,40.46463232,37.87626443,0.371172233,0.000286702,2.268492937,0,0.6
train,62,40.35264884,37.7624225,0.370108419,0.000290506,2.360234499,0,0.6
train,63,40.40544027,37.8115539,0.366380476,0.00029216,2.236774445,0,0.6
train,64,40.32842634,37.72825661,0.368098842,0.000298131,2.322981119,0,0.6
train,65,40.30309314,37.70092371,0.364786581,0.000300007,2.34518528,0,0.6
train,66,40.39480246,37.76710128,0.368681233,0.000307818,2.394430876,0,0.6
train,67,40.32254952,37.69735746,0.37032553,0.00031382,2.439129591,0,0.6
train,68,40.23545852,37.61640617,0.3658199,0.000314574,2.293352842,0,0.6
train,69,40.11015072,37.49238684,0.365108682,0.000318526,2.355593681,0,0.6
train,70,39.99556975,37.36929928,0.361649587,0.000320028,2.313036203,0,0.6
train,71,39.91938026,37.28563225,0.364176593,0.000326816,2.285017729,0,0.6
train,72,39.91853519,37.27581986,0.364021783,0.000331227,2.323213816,0,0.6
train,73,39.83631744,37.18978097,0.362806138,0.000334656,2.282995939,0,0.6
train,74,39.75499495,37.09815552,0.364718683,0.000340978,2.302424908,0,0.6
train,75,39.66705565,37.0044442,0.36576867,0.000346532,2.264572859,0,0.6
train,76,39.51346342,36.84244952,0.365808656,0.000351142,2.305660009,0,0.6
train,77,39.20015712,36.52255357,0.371551326,0.000361298,2.28172183,0,0.6
train,78,38.93981912,36.26143075,0.369971991,0.000364386,2.31352663,0,0.6
train,79,38.78642366,36.10630681,0.370738783,0.000369775,2.319796324,0,0.6
train,80,38.77303938,36.08599967,0.36940634,0.000373063,2.408430338,0,0.6
test,80,38.2156745,35.71704981,0.381306507,0.000385081,2.245157242,0,0.6
train,81,38.50617723,35.80651632,0.372512051,0.000380856,2.228043318,0,0.6
train,82,38.30333366,35.59351569,0.375362917,0.000388462,2.393199682,0,0.6
train,83,38.0698412,35.36035755,0.373090461,0.000390774,2.359142303,0,0.6
train,84,37.93664281,35.21567926,0.373056768,0.000395401,2.364374876,0,0.6
train,85,37.83027993,35.10532359,0.369139848,0.000395863,2.359069824,0,0.6
train,86,37.71995864,34.98877172,0.371358415,0.000402884,2.320623398,0,0.6
train,87,37.62740017,34.89611151,0.366595687,0.000402299,2.457008123,0,0.6
train,88,37.51361789,34.78202526,0.366400133,0.000406664,2.312757969,0,0.6
train,89,37.43169486,34.69537543,0.36513356,0.000409822,2.32648778,0,0.6
train,90,37.38821329,34.64540624,0.365461176,0.000414757,2.388669729,0,0.6
train,91,37.31212565,34.56187705,0.367287431,0.000421421,2.364946365,0,0.6
train,92,37.25675344,34.5081675,0.365527387,0.00042397,2.454181433,0,0.6
train,93,37.12069521,34.36364751,0.366750603,0.000429972,2.274747133,0,0.6
train,94,36.90934648,34.13517136,0.37043296,0.00043892,2.336698294,0,0.6
train,95,36.7583282,33.98241683,0.370190116,0.000443259,2.358384609,0,0.6
train,96,36.60503211,33.83247991,0.367791813,0.000444984,2.239471912,0,0.6
train,97,36.57351967,33.79520688,0.365907975,0.000447278,2.342755556,0,0.6
train,98,36.45048912,33.66957094,0.365974756,0.000451934,2.303491354,0,0.6
train,99,36.39021482,33.60334969,0.365112181,0.000455432,2.25868082,0,0.6
train,100,36.29517748,33.5047159,0.365036286,0.0004599,2.33515501,0,0.6
test,100,35.8253845,33.282798,0.371831765,0.000468462,2.308544636,0,0.6
train,101,36.23152343,33.44055533,0.363955479,0.000463087,2.196207047,0,0.6
train,102,36.19547444,33.3982064,0.363070955,0.0004665,2.328294039,0,0.6
train,103,36.15192085,33.34795091,0.364882139,0.000473388,2.297248602,0,0.6
train,104,36.0925125,33.28885659,0.361816112,0.000473932,2.320460081,0,0.6
train,105,36.05324967,33.24229823,0.364678785,0.00048224,2.254794836,0,0.6
train,106,35.91433397,33.10728489,0.361620256,0.000482715,2.303900003,0,0.6
train,107,35.90552976,33.08973704,0.362470401,0.00048838,2.304760456,0,0.6
train,108,35.89978837,33.07734112,0.361184331,0.000491162,2.262522697,0,0.6
train,109,35.79508941,32.98170844,0.357517734,0.000490644,2.280743122,0,0.6
train,110,35.73567571,32.91104585,0.358473553,0.000496437,2.365859747,0,0.6
train,111,35.69407938,32.8676032,0.35907067,0.000501751,2.293917179,0,0.6
train,112,35.50633265,32.67927645,0.362202029,0.000510654,2.319412947,0,0.6
train,113,35.41134988,32.57404447,0.361553439,0.000514259,2.208363533,0,0.6
train,114,35.29723529,32.45362905,0.361633125,0.000518892,2.262105942,0,0.6
train,115,35.20173521,32.36246253,0.361129475,0.000522683,2.247662783,0,0.6
train,116,35.1669341,32.31373071,0.362174921,0.000528723,2.276289225,0,0.6
train,117,35.0244471,32.17213656,0.36092143,0.000531404,2.277762651,0,0.6
train,118,34.96790787,32.10849978,0.361816818,0.000537245,2.344961882,0,0.6
train,119,34.78032961,31.91880055,0.360661114,0.000540036,2.292713881,0,0.6
train,120,34.60804382,31.74779679,0.360850728,0.00054483,2.251129389,0,0.6
test,120,34.06415191,31.47518331,0.368436429,0.000556284,2.293204308,0,0.6
train,121,34.5479266,31.67976535,0.358725677,0.000546106,2.272945881,0,0.6
train,122,34.48330477,31.61586362,0.356553215,0.000547255,2.289237261,0,0.6
train,123,34.41398289,31.54511282,0.356754291,0.000552022,2.359423161,0,0.6
train,124,34.38209298,31.50288636,0.357276446,0.000557296,2.33325696,0,0.6
train,125,34.32877693,31.44441236,0.357642252,0.000562337,2.307709932,0,0.6
train,126,34.24459611,31.35853502,0.357714897,0.000566922,2.317979097,0,0.6
train,127,34.13192845,31.24402226,0.358826912,0.000573169,2.296356916,0,0.6
train,128,34.02410443,31.1261579,0.359900089,0.000579382,2.325133801,0,0.6
train,129,33.87020029,30.96754917,0.36238776,0.000587916,2.274819374,0,0.6
train,130,33.8278801,30.93004844,0.356581274,0.000582952,2.328627825,0,0.6
train,131,33.7418827,30.83794029,0.358004482,0.000589754,2.267574787,0,0.6
train,132,33.65793156,30.74894889,0.355670709,0.000590355,2.275330305,0,0.6
train,133,33.56021707,30.65106972,0.355054631,0.00059377,2.373858929,0,0.6
train,134,33.55046702,30.62577686,0.355718562,0.000599326,2.292933941,0,0.6
train,135,33.47317394,30.54736744,0.354738307,0.000602108,2.325619936,0,0.6
train,136,33.45979354,30.53229459,0.356042963,0.000608773,2.387775421,0,0.6
train,137,33.39840215,30.46484312,0.354803997,0.000611089,2.24496007,0,0.6
train,138,33.33767493,30.40202256,0.352901986,0.000612224,2.281413794,0,0.6
train,139,33.28356489,30.34515794,0.352178959,0.000615372,2.337538242,0,0.6
train,140,33.23401926,30.28854237,0.355410767,0.000625461,2.319974184,0,0.6
test,140,32.62943558,29.99870869,0.364489181,0.000641437,2.248225927,0,0.6
train,141,33.17945725,30.23133914,0.353799984,0.000627048,2.268894672,0,0.6
train,142,33.09120047,30.14635623,0.349692267,0.000624139,2.46067667,0,0.6
train,143,33.0271532,30.06987536,0.353319504,0.000635029,2.313851357,0,0.6
train,144,32.98278407,30.02245442,0.352715521,0.000638352,2.273146868,0,0.6
train,145,32.86882959,29.89771799,0.352775078,0.000642869,2.196477652,0,0.6
train,146,32.74080927,29.76702343,0.353623622,0.000648835,2.385831594,0,0.6
train,147,32.67609415,29.69028654,0.353403267,0.000652848,2.374057531,0,0.6
train,148,32.60024746,29.6117147,0.354967715,0.000660174,2.470712423,0,0.6
train,149,32.48714856,29.49682287,0.355014761,0.000664699,2.356557131,0,0.6
train,150,32.45025951,29.44870622,0.354304083,0.000667797,2.385387897,0,0.6
train,151,32.37451758,29.36952484,0.354313103,0.000672242,2.393152475,0,0.6
train,152,32.2233399,29.21371113,0.355277219,0.000678512,2.359718323,0,0.6
train,153,32.09836876,29.07782994,0.359196074,0.000690486,2.350737095,0,0.6
train,154,31.9959173,28.97153211,0.356696531,0.000690139,2.348660707,0,0.6
train,155,31.9573712,28.92813194,0.353444664,0.000688265,2.29476738,0,0.6
train,156,31.83019001,28.80184169,0.354599209,0.000694945,2.336998701,0,0.6
train,157,31.77213585,28.73368675,0.353648003,0.000697501,2.268819571,0,0.6
train,158,31.64870496,28.61460745,0.352988769,0.000700613,2.371853113,0,0.6
train,159,31.5698039,28.52328515,0.352529632,0.000704108,2.411227703,0,0.6
train,160,31.48834998,28.43772368,0.355147398,0.000713775,2.35842514,0,0.6
test,160,30.72123826,28.04908392,0.355909745,0.000715307,2.382998228,0,0.6
train,161,31.40368123,28.35236509,0.351217591,0.000710267,2.375342607,0,0.6
train,162,31.30334987,28.23944384,0.354913559,0.000722177,2.343436956,0,0.6
train,163,31.24754377,28.17765014,0.355801656,0.000728431,2.367771149,0,0.6
train,164,31.1149906,28.03732846,0.356060683,0.000733412,2.285416603,0,0.6
train,165,31.01914832,27.9420216,0.355236454,0.000736154,2.36728549,0,0.6
train,166,30.89311492,27.8189264,0.353551412,0.000737081,2.335959196,0,0.6
train,167,30.84239759,27.75397052,0.354575564,0.000743648,2.423000813,0,0.6
train,168,30.7095468,27.61324494,0.356003611,0.000751093,2.452500105,0,0.6
train,169,30.58163813,27.48902252,0.355366321,0.00075419,2.370375395,0,0.6
train,170,30.47128061,27.36922594,0.356197823,0.000760407,2.325848818,0,0.6
train,171,30.37909934,27.27221599,0.355495213,0.00076335,2.374060154,0,0.6
train,172,30.21825009,27.10412973,0.357962773,0.000773123,2.372531891,0,0.6
train,173,30.08998299,26.97503651,0.357560403,0.000776723,2.35455513,0,0.6
train,174,30.01257175,26.89128033,0.355194051,0.000776022,2.355648994,0,0.6
train,175,29.93686339,26.79889771,0.360176876,0.00079141,2.376095533,0,0.6
train,176,29.84395435,26.71745363,0.355984874,0.000786648,2.340506077,0,0.6
train,177,29.74785809,26.61921919,0.356065916,0.000791278,2.411632299,0,0.6
train,178,29.66637748,26.53112744,0.355298353,0.000794013,2.396123171,0,0.6
train,179,29.56106792,26.42052137,0.355371299,0.000798617,2.362719297,0,0.6
train,180,29.48519471,26.34643367,0.355884312,0.000804218,2.44425559,0,0.6
test,180,28.61830891,25.89865078,0.35968547,0.000812808,2.436679125,0,0.6
train,181,29.38199767,26.24023947,0.355061432,0.000806797,2.388504267,0,0.6
train,182,29.30494062,26.15204874,0.355759356,0.000812829,2.425540447,0,0.6
train,183,29.17958397,26.02299759,0.357402411,0.00082105,2.444640398,0,0.6
train,184,29.07839707,25.91877022,0.354907316,0.000819754,2.375527382,0,0.6
train,185,29.02145025,25.85450782,0.35677509,0.000828528,2.403777838,0,0.6
train,186,28.90118759,25.73263136,0.357378633,0.000834396,2.445883512,0,0.6
train,187,28.83341468,25.66213626,0.356589575,0.000837011,2.377991915,0,0.6
train,188,28.76299421,25.58710764,0.355855346,0.000839735,2.409348726,0,0.6
train,189,28.6734315,25.49903858,0.354363004,0.000840643,2.430454969,0,0.6
train,190,28.59806861,25.41662513,0.356296178,0.000849682,2.449822664,0,0.6
train,191,28.53808099,25.35479649,0.355363248,0.000851899,2.388235569,0,0.6
train,192,28.48825155,25.29772878,0.354994054,0.00085545,2.430958271,0,0.6
train,193,28.33725693,25.14830748,0.355102182,0.000860149,2.360369444,0,0.6
train,194,28.30271974,25.10896881,0.353700005,0.000861174,2.379505396,0,0.6
train,195,28.21393231,25.01685879,0.354572001,0.000867729,2.373822927,0,0.6
train,196,28.16786572,24.96463489,0.353807357,0.000870279,2.471606255,0,0.6
train,197,28.06914184,24.86196188,0.356090279,0.000880346,2.396127701,0,0.6
train,198,28.00286855,24.79116709,0.354274702,0.000880285,2.506630182,0,0.6
train,199,27.87518219,24.65826186,0.356163961,0.000889431,2.486582279,0,0.6
train,200,27.82846973,24.60400507,0.356776211,0.000895419,2.305645704,0,0.6
test,200,26.8840498,24.12055483,0.357915161,0.000898278,2.464088202,0,0.6
train,201,27.74753585,24.52526069,0.352970856,0.00089028,2.381637573,0,0.6
train,202,27.66596187,24.43999858,0.354528144,0.000898639,2.435308933,0,0.6
train,203,27.57386127,24.34477351,0.352990128,0.000899153,2.444326162,0,0.6
train,204,27.5240233,24.29322285,0.352417262,0.000902098,2.422596693,0,0.6
train,205,27.46093192,24.22835577,0.353099425,0.000908258,2.45917058,0,0.6
train,206,27.36130906,24.12733443,0.351708969,0.000909077,2.519273758,0,0.6
train,207,27.28535485,24.03758783,0.353030875,0.000916906,2.435991287,0,0.6
train,208,27.21773798,23.96944798,0.352959176,0.000921132,2.543770552,0,0.6
train,209,27.12547792,23.87149346,0.354293715,0.000929043,2.51372695,0,0.6
train,210,27.06044059,23.81344373,0.351777356,0.000926841,2.493131399,0,0.6
train,211,26.98473109,23.73035762,0.352187491,0.000932323,2.527995825,0,0.6
train,212,26.92000236,23.6568662,0.35355965,0.000940375,2.507705688,0,0.6
train,213,26.82557847,23.56647754,0.353139897,0.000943672,2.56236434,0,0.6
train,214,26.76945716,23.5050512,0.354237651,0.000951033,2.512460709,0,0.6
train,215,26.69538973,23.4272745,0.351500886,0.000948079,2.422201872,0,0.6
train,216,26.60825455,23.33906885,0.352471402,0.000955102,2.509894371,0,0.6
train,217,26.53028735,23.25354558,0.352838654,0.000960508,2.449867249,0,0.6
