Mode,Epoch,Total Loss,Cross Entropy Loss,KL Div,KL Div * Beta,Reg Loss,Reg Loss * Gamma,Delta
train,0,65.71186217,62.41197833,0.093899553,9.39E-07,1.571454048,0,1
test,0,61.85258742,59.54877346,0.107029127,1.07E-06,1.748559952,0,1
train,1,60.24796205,57.63868402,0.111635042,2.51E-06,1.816169739,0,1
train,2,59.07497771,56.55447061,0.169326882,5.93E-06,1.935049891,0,1
train,3,57.32492188,54.73519264,0.197916429,9.40E-06,1.471446276,0,1
train,4,49.8024019,47.00194178,0.289636127,1.74E-05,1.941584826,0,1
train,5,47.41408277,44.77983433,0.341520065,2.48E-05,1.82389164,0,1
train,6,46.56159526,43.96331548,0.373058184,3.17E-05,1.699605823,0,1
train,7,45.9783361,43.41526288,0.395209149,3.85E-05,1.706032395,0,1
train,8,45.7499968,43.18258431,0.409696607,4.51E-05,1.627121329,0,1
train,9,45.85925414,43.28674924,0.423758506,5.19E-05,1.626304626,0,1
train,10,45.98471642,43.40664926,0.432320022,5.84E-05,1.772433639,0,1
train,11,45.80113802,43.24083754,0.436489595,6.44E-05,1.719186783,0,1
train,12,45.58206326,43.02835354,0.435803827,6.97E-05,1.693175316,0,1
train,13,45.26821894,42.74087604,0.433034299,7.47E-05,1.657710433,0,1
train,14,45.06938985,42.54783906,0.431115549,7.97E-05,1.688391089,0,1
train,15,45.0225851,42.49958296,0.431759105,8.53E-05,1.71681869,0,1
train,16,45.26140359,42.7219659,0.430946008,9.05E-05,1.658373237,0,1
train,17,45.31027927,42.78112931,0.425772314,9.47E-05,1.710694909,0,1
train,18,45.15725942,42.63212483,0.420598797,9.88E-05,1.707773209,0,1
train,19,44.87926482,42.36461107,0.417611854,0.000103349,1.722614288,0,1
train,20,45.03278149,42.50901552,0.418889907,0.000108901,1.695543647,0,1
test,20,44.62053849,42.25873422,0.437432344,0.000113721,1.717543006,0,1
train,21,44.75116166,42.2449304,0.414049817,0.000112818,1.71560514,0,1
train,22,45.06076772,42.52402592,0.411921721,0.000117386,1.729039788,0,1
train,23,44.97306332,42.4520977,0.410548354,0.000122126,1.738589287,0,1
train,24,44.85817278,42.33662928,0.405058856,0.000125556,1.776442409,0,1
train,25,45.09320716,42.55514483,0.403733596,0.000130191,1.693577647,0,1
train,26,44.71889363,42.20027053,0.401132312,0.000134366,1.688677669,0,1
train,27,44.57128394,42.05067781,0.401205841,0.000139405,1.780525565,0,1
train,28,43.97330364,41.44985474,0.40512495,0.000145831,1.733288765,0,1
train,29,43.23692494,40.70436259,0.406509251,0.00015141,1.831160784,0,1
train,30,43.36213997,40.81092845,0.407253526,0.000156777,1.749958277,0,1
train,31,42.92295773,40.39615805,0.405525599,0.000161181,1.776560187,0,1
train,32,42.80107179,40.27057749,0.403501887,0.00016542,1.795346618,0,1
train,33,42.8096911,40.27719332,0.40411371,0.000170721,1.771443725,0,1
train,34,42.99195656,40.44854439,0.402351823,0.000175006,1.847260118,0,1
train,35,42.71990178,40.17219972,0.399364573,0.000178698,1.79807663,0,1
train,36,42.86203628,40.30926391,0.402423356,0.000185097,1.780836344,0,1
train,37,42.72489161,40.18166635,0.395128265,0.00018668,1.804442048,0,1
train,38,42.53986206,40.00187559,0.393435848,0.000190798,1.813776016,0,1
train,39,42.72950922,40.1744529,0.39357522,0.000195784,1.788541675,0,1
train,40,42.63882662,40.0897588,0.391577976,0.000199685,1.761761069,0,1
test,40,42.19573119,39.78514964,0.401547262,0.000204769,1.755385756,0,1
train,41,42.46963268,39.91683631,0.389546118,0.000203518,1.761747956,0,1
train,42,42.29050208,39.74572307,0.38655735,0.000206788,1.748972178,0,1
train,43,42.22592112,39.67967258,0.387437382,0.000212101,1.690374255,0,1
train,44,42.18485922,39.63524837,0.390905454,0.000218886,1.67162323,0,1
train,45,41.93152817,39.3611605,0.392255914,0.000224544,1.672006965,0,1
train,46,41.45037491,38.89337486,0.384656499,0.000225002,1.603378177,0,1
train,47,41.11049004,38.55522393,0.389142532,0.00023249,1.642873049,0,1
train,48,41.04705197,38.48459297,0.38795326,0.000236628,1.638291597,0,1
train,49,41.21167895,38.63605029,0.383843404,0.000238919,1.648469329,0,1
train,50,41.00704085,38.44092815,0.380281785,0.000241455,1.603452682,0,1
train,51,40.85672839,38.29171535,0.38178367,0.000247181,1.694155097,0,1
train,52,40.77490826,38.20683535,0.378256359,0.000249625,1.615449548,0,1
train,53,40.77647404,38.20412278,0.378706511,0.000254655,1.612002969,0,1
train,54,40.74304239,38.1666614,0.377837572,0.000258793,1.700884461,0,1
train,55,40.63980378,38.06382406,0.379237475,0.000264492,1.603073359,0,1
train,56,40.61707103,38.04417998,0.37417356,0.000265637,1.623214364,0,1
train,57,40.62795386,38.04547894,0.376153863,0.000271744,1.650982141,0,1
train,58,40.52121815,37.94063327,0.3739255,0.000274808,1.60939908,0,1
train,59,40.5177678,37.93298398,0.371193117,0.000277439,1.641119003,0,1
train,60,40.52150702,37.93614637,0.370197597,0.000281322,1.555486083,0,1
test,60,40.20325055,37.75296916,0.38220921,0.00029045,1.536874413,0,1
train,61,40.46463232,37.87626443,0.371172233,0.000286702,1.515609741,0,1
train,62,40.35264884,37.7624225,0.370108419,0.000290506,1.592208266,0,1
train,63,40.40544027,37.8115539,0.366380476,0.00029216,1.501636863,0,1
train,64,40.32842634,37.72825661,0.368098842,0.000298131,1.593681216,0,1
train,65,40.30309314,37.70092371,0.364786581,0.000300007,1.526131511,0,1
train,66,40.39480246,37.76710128,0.368681233,0.000307818,1.634245872,0,1
train,67,40.32254952,37.69735746,0.37032553,0.00031382,1.615694284,0,1
train,68,40.23545852,37.61640617,0.3658199,0.000314574,1.510815978,0,1
train,69,40.11015072,37.49238684,0.365108682,0.000318526,1.531996369,0,1
train,70,39.99556975,37.36929928,0.361649587,0.000320028,1.545068145,0,1
train,71,39.91938026,37.28563225,0.364176593,0.000326816,1.535727978,0,1
train,72,39.91853519,37.27581986,0.364021783,0.000331227,1.509425521,0,1
train,73,39.83631744,37.18978097,0.362806138,0.000334656,1.512406707,0,1
train,74,39.75499495,37.09815552,0.364718683,0.000340978,1.454867125,0,1
train,75,39.66705565,37.0044442,0.36576867,0.000346532,1.421724319,0,1
train,76,39.51346342,36.84244952,0.365808656,0.000351142,1.469533205,0,1
train,77,39.20015712,36.52255357,0.371551326,0.000361298,1.450701594,0,1
train,78,38.93981912,36.26143075,0.369971991,0.000364386,1.42740047,0,1
train,79,38.78642366,36.10630681,0.370738783,0.000369775,1.466026545,0,1
train,80,38.77303938,36.08599967,0.36940634,0.000373063,1.510934114,0,1
test,80,38.2156745,35.71704981,0.381306507,0.000385081,1.362766504,0,1
train,81,38.50617723,35.80651632,0.372512051,0.000380856,1.392899871,0,1
train,82,38.30333366,35.59351569,0.375362917,0.000388462,1.445193052,0,1
train,83,38.0698412,35.36035755,0.373090461,0.000390774,1.398881674,0,1
train,84,37.93664281,35.21567926,0.373056768,0.000395401,1.492287517,0,1
train,85,37.83027993,35.10532359,0.369139848,0.000395863,1.389487267,0,1
train,86,37.71995864,34.98877172,0.371358415,0.000402884,1.407446742,0,1
train,87,37.62740017,34.89611151,0.366595687,0.000402299,1.465425253,0,1
train,88,37.51361789,34.78202526,0.366400133,0.000406664,1.35852921,0,1
train,89,37.43169486,34.69537543,0.36513356,0.000409822,1.346979737,0,1
train,90,37.38821329,34.64540624,0.365461176,0.000414757,1.388613582,0,1
train,91,37.31212565,34.56187705,0.367287431,0.000421421,1.371969223,0,1
train,92,37.25675344,34.5081675,0.365527387,0.00042397,1.417675495,0,1
train,93,37.12069521,34.36364751,0.366750603,0.000429972,1.352486014,0,1
train,94,36.90934648,34.13517136,0.37043296,0.00043892,1.357215643,0,1
train,95,36.7583282,33.98241683,0.370190116,0.000443259,1.408519745,0,1
train,96,36.60503211,33.83247991,0.367791813,0.000444984,1.310729504,0,1
train,97,36.57351967,33.79520688,0.365907975,0.000447278,1.402440906,0,1
train,98,36.45048912,33.66957094,0.365974756,0.000451934,1.388790369,0,1
train,99,36.39021482,33.60334969,0.365112181,0.000455432,1.303606629,0,1
train,100,36.29517748,33.5047159,0.365036286,0.0004599,1.325546145,0,1
test,100,35.8253845,33.282798,0.371831765,0.000468462,1.34493196,0,1
train,101,36.23152343,33.44055533,0.363955479,0.000463087,1.268060088,0,1
train,102,36.19547444,33.3982064,0.363070955,0.0004665,1.322213769,0,1
