ecoli,saureus
8.685016632080078125e+01,1.119390487670898438e+02
1.027900161743164062e+02,1.116827392578125000e+02
1.138919677734375000e+02,1.225833892822265625e+02
1.238592605590820312e+02,1.273940277099609375e+02
9.543301391601562500e+01,1.034416656494140625e+02
7.428235626220703125e+01,1.092472534179687500e+02
8.265814208984375000e+01,1.274219207763671875e+02
5.566751480102539062e+01,8.313769531250000000e+01
7.237531280517578125e+01,9.188295745849609375e+01
9.209423065185546875e+01,1.174861755371093750e+02
1.094332885742187500e+02,1.188574371337890625e+02
1.216971740722656250e+02,1.341951751708984375e+02
4.057373809814453125e+01,9.546595764160156250e+01
6.994650268554687500e+01,1.136293640136718750e+02
5.859675598144531250e+01,1.087579040527343750e+02
5.575653076171875000e+01,8.503230285644531250e+01
9.080907440185546875e+01,1.142336273193359375e+02
1.112408218383789062e+02,1.278383026123046875e+02
1.235217666625976562e+02,1.334046630859375000e+02
9.641791534423828125e+01,1.154650650024414062e+02
8.982682037353515625e+01,1.130316467285156250e+02
1.120915145874023438e+02,1.233430480957031250e+02
8.850240325927734375e+01,1.175885162353515625e+02
1.054965438842773438e+02,1.243240509033203125e+02
8.499939727783203125e+01,1.334519958496093750e+02
1.176494369506835938e+02,1.209808959960937500e+02
1.234989700317382812e+02,1.251986465454101562e+02
1.050754776000976562e+02,1.212830505371093750e+02
1.031466979980468750e+02,1.167467956542968750e+02
5.790671920776367188e+01,1.114231414794921875e+02
9.812957763671875000e+01,1.002244262695312500e+02
1.142334823608398438e+02,1.303587341308593750e+02
8.478265380859375000e+01,9.885182189941406250e+01
2.243759155273437500e+01,7.626296997070312500e+01
1.061113357543945312e+02,1.227032928466796875e+02
8.492761993408203125e+01,1.305708007812500000e+02
6.264594650268554688e+01,9.714009094238281250e+01
1.098375244140625000e+02,1.311258239746093750e+02
6.904372406005859375e+01,8.730606079101562500e+01
2.946263694763183594e+01,5.876076126098632812e+01
9.857530975341796875e+01,1.162378234863281250e+02
6.494431304931640625e+01,9.133631896972656250e+01
3.008876228332519531e+01,9.690749359130859375e+01
2.849822425842285156e+01,6.310287475585937500e+01
6.334434890747070312e+01,7.665541076660156250e+01
2.990662956237792969e+01,5.138562774658203125e+01
5.817862319946289062e+01,7.807954406738281250e+01
8.151702117919921875e+01,1.078767013549804688e+02
3.179218482971191406e+01,6.098369216918945312e+01
7.798700714111328125e+01,1.060206832885742188e+02
1.120465164184570312e+02,1.241396255493164062e+02
8.989282226562500000e+01,1.282649536132812500e+02
1.180920104980468750e+02,1.369821166992187500e+02
1.173463821411132812e+02,1.323530120849609375e+02
1.201321029663085938e+02,1.323236999511718750e+02
8.936035919189453125e+01,1.122872772216796875e+02
1.133893966674804688e+02,1.394420623779296875e+02
1.235001220703125000e+02,1.386299896240234375e+02
1.211885757446289062e+02,1.367242584228515625e+02
1.082706909179687500e+02,1.337229156494140625e+02
1.226860580444335938e+02,1.360194702148437500e+02
7.902294158935546875e+01,1.099704437255859375e+02
1.099048385620117188e+02,1.340504150390625000e+02
1.201836776733398438e+02,1.356228485107421875e+02
1.206878662109375000e+02,1.367701721191406250e+02
8.383769226074218750e+01,1.128331985473632812e+02
1.371204681396484375e+02,1.399573974609375000e+02
1.147084579467773438e+02,1.348278198242187500e+02
1.075643386840820312e+02,1.332398223876953125e+02
8.505411529541015625e+01,1.205994873046875000e+02
8.569661712646484375e+01,1.279308929443359375e+02
1.145437545776367188e+02,1.396165161132812500e+02
5.202888488769531250e+01,1.022974929809570312e+02
1.006962661743164062e+02,1.345638732910156250e+02
1.114217910766601562e+02,1.296091156005859375e+02
1.029184799194335938e+02,1.206579589843750000e+02
1.237459716796875000e+02,1.313796997070312500e+02
1.011653060913085938e+02,1.217857971191406250e+02
3.428721618652343750e+01,7.208688354492187500e+01
4.067538833618164062e+01,6.625938415527343750e+01
8.706393432617187500e+01,1.187913818359375000e+02
1.098588485717773438e+02,1.322593383789062500e+02
1.016368942260742188e+02,1.165178909301757812e+02
5.391336441040039062e+01,7.113967895507812500e+01
3.269302368164062500e+01,5.179953002929687500e+01
3.920861434936523438e+01,5.731146240234375000e+01
3.902506256103515625e+01,4.995983123779296875e+01
2.924893760681152344e+01,5.349025344848632812e+01
5.530487060546875000e+01,8.033222961425781250e+01
6.109153366088867188e+01,7.652319335937500000e+01
5.431216430664062500e+01,9.874600219726562500e+01
9.963233184814453125e+01,1.236153869628906250e+02
5.762102127075195312e+01,1.118092880249023438e+02
1.356865692138671875e+01,1.201702308654785156e+01
4.389916610717773438e+01,1.010805969238281250e+02
7.513109588623046875e+01,1.084134445190429688e+02
5.568701553344726562e+01,6.122299957275390625e+01
7.400461578369140625e+01,1.357318420410156250e+02
5.810138320922851562e+01,9.573606872558593750e+01
3.895737457275390625e+01,7.580627441406250000e+01
5.300515747070312500e+01,7.216909790039062500e+01
8.514883422851562500e+01,1.274837341308593750e+02
1.075772933959960938e+02,1.271763916015625000e+02
9.831099700927734375e+01,1.289554138183593750e+02
3.925916290283203125e+01,9.962545776367187500e+01
7.427563476562500000e+01,1.116190032958984375e+02
4.267730712890625000e+01,8.362113952636718750e+01
7.657421112060546875e+01,1.024470443725585938e+02
4.526293563842773438e+01,6.978877258300781250e+01
5.131163406372070312e+01,7.768471527099609375e+01
5.551688766479492188e+01,1.021391296386718750e+02
1.159550170898437500e+02,1.197576751708984375e+02
8.313800048828125000e+01,1.113955001831054688e+02
4.233945846557617188e+01,8.618945312500000000e+01
3.724482727050781250e+01,7.129869842529296875e+01
2.933491325378417969e+01,6.592846679687500000e+01
4.004947280883789062e+01,6.864925384521484375e+01
6.097483825683593750e+01,1.333914489746093750e+02
9.573284149169921875e+01,1.081449279785156250e+02
7.518553924560546875e+01,9.579895019531250000e+01
3.254277420043945312e+01,4.538000869750976562e+01
9.934204101562500000e+01,1.175853729248046875e+02
4.946788406372070312e+01,7.765063476562500000e+01
1.700144386291503906e+01,6.984539794921875000e+01
2.985601806640625000e+01,1.126360015869140625e+02
3.298635864257812500e+01,1.003724822998046875e+02
6.141619873046875000e+01,9.672334289550781250e+01
4.637611007690429688e+01,8.527281188964843750e+01
7.976949310302734375e+01,1.092921600341796875e+02
3.913241958618164062e+01,8.983522033691406250e+01
6.275012207031250000e+01,1.328236541748046875e+02
2.480503845214843750e+01,2.582489395141601562e+01
2.684453392028808594e+01,3.414308929443359375e+01
2.205770874023437500e+01,3.469535064697265625e+01
3.517044448852539062e+01,4.353302383422851562e+01
1.069610977172851562e+02,1.280085754394531250e+02
1.266572647094726562e+02,1.340973815917968750e+02
8.596469116210937500e+01,1.282366333007812500e+02
1.662522315979003906e+01,3.535165405273437500e+01
1.503538990020751953e+01,1.596329021453857422e+01
4.826263427734375000e+01,7.239007568359375000e+01
1.320322704315185547e+01,1.825817871093750000e+01
5.308858108520507812e+01,1.008285522460937500e+02
6.302278518676757812e+01,1.043265228271484375e+02
1.378906726837158203e+01,2.959811401367187500e+01
5.943458175659179688e+01,9.104273223876953125e+01
2.432348060607910156e+01,5.485809326171875000e+01
1.075184097290039062e+02,1.260005187988281250e+02
1.293906402587890625e+02,1.291972045898437500e+02
3.177485466003417969e+01,5.439554977416992188e+01
6.235380935668945312e+01,1.021876525878906250e+02
9.178994750976562500e+01,1.119869232177734375e+02
6.002196884155273438e+01,3.835510253906250000e+01
7.565169525146484375e+01,9.126077270507812500e+01
5.277065658569335938e+01,7.725776672363281250e+01
1.376639862060546875e+02,1.395417480468750000e+02
2.281106567382812500e+01,4.126665115356445312e+01
1.386171817779541016e+01,3.221593475341796875e+01
7.379068756103515625e+01,1.292262268066406250e+02
5.557884216308593750e+01,1.174851379394531250e+02
8.227488708496093750e+01,1.022604064941406250e+02
1.126560440063476562e+02,1.300642700195312500e+02
1.168136291503906250e+02,1.254996566772460938e+02
5.928588867187500000e+01,8.504698181152343750e+01
1.227362442016601562e+02,1.265354461669921875e+02
1.365502166748046875e+02,1.374867248535156250e+02
9.598004150390625000e+01,1.116004104614257812e+02
7.931989288330078125e+01,7.536670684814453125e+01
1.353928833007812500e+02,1.236774749755859375e+02
9.245023345947265625e+01,1.355395507812500000e+02
1.099610519409179688e+02,1.238759155273437500e+02
1.075292739868164062e+02,1.235677642822265625e+02
4.906286621093750000e+01,9.403884887695312500e+01
6.606459808349609375e+01,8.799319458007812500e+01
1.033068161010742188e+02,1.088307037353515625e+02
1.116562728881835938e+02,1.154690399169921875e+02
1.021725692749023438e+02,1.060445175170898438e+02
1.134857788085937500e+02,1.342436065673828125e+02
1.086597290039062500e+02,1.279288482666015625e+02
1.150420303344726562e+02,1.344635314941406250e+02
5.186621475219726562e+01,7.833457946777343750e+01
9.884212493896484375e+01,1.136846313476562500e+02
4.541196060180664062e+01,9.796655273437500000e+01
1.236078872680664062e+02,1.435856628417968750e+02
4.663725662231445312e+01,7.842900848388671875e+01
1.095037231445312500e+02,1.393813476562500000e+02
4.359120559692382812e+01,9.089598083496093750e+01
8.305225372314453125e+01,1.053733596801757812e+02
7.603522491455078125e+01,9.328872680664062500e+01
4.193636703491210938e+01,1.096629638671875000e+02
3.598680114746093750e+01,8.805590057373046875e+01
3.694431686401367188e+01,8.673308563232421875e+01
1.819643402099609375e+01,8.022354125976562500e+01
3.501020431518554688e+01,9.521624755859375000e+01
5.282811355590820312e+01,1.153380508422851562e+02
2.126258850097656250e+01,9.245802307128906250e+01
4.669412231445312500e+01,9.924102783203125000e+01
3.471493911743164062e+01,1.033779602050781250e+02
2.322880744934082031e+01,9.270280456542968750e+01
2.779822731018066406e+01,1.001841583251953125e+02
2.635698509216308594e+01,1.027162170410156250e+02
2.221197509765625000e+01,9.630553436279296875e+01
3.436459732055664062e+01,9.299099731445312500e+01
2.900519561767578125e+01,1.004621276855468750e+02
3.107546424865722656e+01,1.053154449462890625e+02
5.996250534057617188e+01,1.142692489624023438e+02
1.787285423278808594e+01,7.942538452148437500e+01
7.882393646240234375e+01,1.212856521606445312e+02
3.933319473266601562e+01,1.007502975463867188e+02
3.516311264038085938e+01,1.006811676025390625e+02
2.646858024597167969e+01,9.295724487304687500e+01
3.503487014770507812e+01,9.089169311523437500e+01
5.808739089965820312e+01,8.628677368164062500e+01
2.181842994689941406e+01,3.305156707763671875e+01
1.140388870239257812e+02,1.222786407470703125e+02
4.825503921508789062e+01,6.851930236816406250e+01
1.166022720336914062e+02,1.246964950561523438e+02
1.134165725708007812e+02,1.219791336059570312e+02
8.621225738525390625e+01,1.023268127441406250e+02
8.148889923095703125e+01,9.651071166992187500e+01
1.095887145996093750e+02,1.210572433471679688e+02
8.371526336669921875e+01,9.639060211181640625e+01
9.971567535400390625e+01,1.129240036010742188e+02
1.279415512084960938e+02,1.284661712646484375e+02
8.417577362060546875e+01,1.179730682373046875e+02
1.020957260131835938e+02,1.078885421752929688e+02
7.981397247314453125e+01,1.066556549072265625e+02
1.168129272460937500e+02,1.274818954467773438e+02
8.358545684814453125e+01,1.268605499267578125e+02
3.299227905273437500e+01,1.014197387695312500e+02
5.088391494750976562e+01,6.741402435302734375e+01
5.538034057617187500e+01,1.051690216064453125e+02
7.800197601318359375e+01,8.822325134277343750e+01
6.692343139648437500e+01,9.725163269042968750e+01
6.353749465942382812e+01,8.772958374023437500e+01
9.148783111572265625e+01,1.161312561035156250e+02
7.063315582275390625e+01,9.760171508789062500e+01
9.677680206298828125e+01,1.230908050537109375e+02
3.636624526977539062e+01,7.569073486328125000e+01
8.878850555419921875e+01,1.081906738281250000e+02
5.828559494018554688e+01,1.263917388916015625e+02
2.569028472900390625e+01,3.940271759033203125e+01
7.863996124267578125e+01,1.133728866577148438e+02
5.934553527832031250e+01,8.518931579589843750e+01
6.059085083007812500e+01,1.077464294433593750e+02
8.172090911865234375e+01,1.221280670166015625e+02
1.323029022216796875e+02,1.405979919433593750e+02
8.631274414062500000e+01,1.154459609985351562e+02
3.303070831298828125e+01,5.556769561767578125e+01
5.277772903442382812e+01,8.365942382812500000e+01
6.653079223632812500e+01,9.023876953125000000e+01
5.269503784179687500e+01,7.840083312988281250e+01
7.765323638916015625e+01,1.065060424804687500e+02
8.548677825927734375e+01,1.164087982177734375e+02
6.180912399291992188e+01,9.236495971679687500e+01
7.698828125000000000e+01,1.067784881591796875e+02
8.676332855224609375e+01,1.128036727905273438e+02
1.075819702148437500e+02,1.169207763671875000e+02
1.230368041992187500e+02,1.324386596679687500e+02
9.465529632568359375e+01,1.215546417236328125e+02
9.340872955322265625e+01,1.211678924560546875e+02
1.138018417358398438e+02,1.172858886718750000e+02
1.258059616088867188e+02,1.295560760498046875e+02
1.193541259765625000e+02,1.366036071777343750e+02
1.099137802124023438e+02,1.286826629638671875e+02
6.558850860595703125e+01,8.544201660156250000e+01
1.044944686889648438e+02,1.061015777587890625e+02
3.735432434082031250e+01,4.932891845703125000e+01
3.044775199890136719e+01,5.920092010498046875e+01
7.316104888916015625e+01,9.706739044189453125e+01
1.088361129760742188e+02,1.305639953613281250e+02
4.120476150512695312e+01,9.986206054687500000e+01
7.061826324462890625e+01,1.138722381591796875e+02
5.474072265625000000e+01,7.140281677246093750e+01
5.754576110839843750e+01,1.021373291015625000e+02
