ecoli,saureus
6.600672149658203125e+01,1.050622177124023438e+02
5.165140151977539062e+01,9.629833984375000000e+01
6.582571411132812500e+01,1.031118011474609375e+02
3.626433181762695312e+01,9.118706512451171875e+01
4.373707580566406250e+01,8.673249816894531250e+01
7.068891143798828125e+01,1.071296463012695312e+02
8.282349395751953125e+01,1.108848037719726562e+02
6.178397750854492188e+01,1.122800750732421875e+02
4.678227615356445312e+01,1.013771820068359375e+02
6.695352172851562500e+01,1.079957885742187500e+02
6.514623260498046875e+01,1.068938827514648438e+02
6.858931732177734375e+01,1.067038879394531250e+02
8.031115722656250000e+01,1.100809783935546875e+02
6.783081817626953125e+01,1.022577896118164062e+02
5.433135986328125000e+01,9.688386535644531250e+01
6.432003021240234375e+01,9.638647460937500000e+01
7.247814941406250000e+01,1.037727813720703125e+02
7.779248809814453125e+01,1.123978271484375000e+02
9.719710540771484375e+01,1.186957702636718750e+02
7.726725006103515625e+01,1.084813537597656250e+02
4.229453659057617188e+01,8.551113891601562500e+01
5.527315139770507812e+01,9.432395935058593750e+01
6.841009521484375000e+01,1.124519882202148438e+02
4.144980239868164062e+01,7.671759796142578125e+01
7.298703765869140625e+01,9.199868774414062500e+01
1.316271820068359375e+02,1.355040588378906250e+02
1.343061676025390625e+02,1.349340515136718750e+02
1.373539428710937500e+02,1.385262145996093750e+02
1.384722290039062500e+02,1.403118286132812500e+02
1.404711151123046875e+02,1.404695587158203125e+02
5.611957168579101562e+01,9.570993041992187500e+01
9.198581695556640625e+01,1.139161529541015625e+02
1.321213531494140625e+02,1.348204498291015625e+02
5.198295974731445312e+01,9.877334594726562500e+01
5.648300170898437500e+01,1.050260238647460938e+02
4.884054565429687500e+01,1.012036285400390625e+02
6.986307525634765625e+01,8.159712219238281250e+01
6.920314788818359375e+01,8.222175598144531250e+01
4.064839172363281250e+01,7.508340454101562500e+01
4.320913314819335938e+01,7.404792785644531250e+01
3.647835922241210938e+01,6.851468658447265625e+01
4.365077590942382812e+01,7.032528686523437500e+01
4.440515136718750000e+01,7.172309875488281250e+01
1.292148284912109375e+02,1.369964294433593750e+02
1.158247451782226562e+02,1.310864257812500000e+02
1.220136337280273438e+02,1.327464599609375000e+02
1.311879119873046875e+02,1.372439575195312500e+02
1.027551174163818359e+01,3.470666503906250000e+01
3.618434143066406250e+01,9.895948791503906250e+01
6.107965087890625000e+01,1.012711105346679688e+02
7.821649169921875000e+01,1.119554901123046875e+02
5.648942947387695312e+01,8.564968872070312500e+01
8.076018524169921875e+01,9.846159362792968750e+01
4.015134048461914062e+01,9.860782623291015625e+01
7.292243957519531250e+01,1.098871459960937500e+02
3.470479202270507812e+01,8.667422485351562500e+01
1.019585647583007812e+02,1.255324707031250000e+02
1.000805892944335938e+02,1.226400146484375000e+02
1.184898452758789062e+02,1.300558776855468750e+02
1.148173446655273438e+02,1.306017608642578125e+02
7.340105438232421875e+01,1.157909011840820312e+02
3.176721954345703125e+01,4.952048492431640625e+01
3.399580764770507812e+01,4.271421813964843750e+01
7.275916290283203125e+01,1.229056015014648438e+02
7.705919647216796875e+01,1.237071838378906250e+02
1.023844375610351562e+02,1.243255310058593750e+02
1.076531448364257812e+02,1.366764831542968750e+02
7.226362609863281250e+01,1.221915359497070312e+02
7.157621002197265625e+01,1.197251205444335938e+02
7.111705780029296875e+01,1.184139556884765625e+02
7.129119110107421875e+01,1.192711639404296875e+02
7.925511932373046875e+01,1.244541549682617188e+02
7.262413787841796875e+01,1.219312896728515625e+02
1.089999618530273438e+02,1.353973083496093750e+02
1.085176315307617188e+02,1.336109313964843750e+02
1.097854843139648438e+02,1.345556793212890625e+02
6.761393737792968750e+01,1.135615539550781250e+02
7.381578826904296875e+01,1.197417449951171875e+02
